We weren't playing,আমরা খেলছিলাম না,উই ওয়ারন্ট প্লেয়িং
We weren't running,আমরা দৌড়াচ্ছিলাম না,উই ওয়ারন্ট রানিং
We weren't eating,আমরা খাচ্ছিলাম না,উই ওয়ারন্ট ইটিং
We weren't doing,আমরা করছিলাম না,উই ওয়ারন্ট ডুইং
We weren't walking,আমরা হাঁটছিলাম না,উই ওয়ারন্ট ওয়াকিং
We weren't going,আমরা যাচ্ছিলাম না,উই ওয়ারন্ট গোইং
We weren't coming,আমরা আসছিলাম না,উই ওয়ারন্ট কামিং
We weren't reading,আমরা পড়ছিলাম না,উই ওয়ারন্ট রিডিং
We weren't writing,আমরা লিখছিলাম না,উই ওয়ারন্ট রাইটিং
We weren't working,আমরা কাজ করছিলাম না,উই ওয়ারন্ট ওয়ার্কিং
We weren't sleeping,আমরা ঘুমাচ্ছিলাম না,উই ওয়ারন্ট স্লিপিং
We weren't drinking,আমরা পান করছিলাম না,উই ওয়ারন্ট ড্রিঙ্কিং
We weren't sitting,আমরা বসছিলাম না,উই ওয়ারন্ট সিটিং
We weren't standing,আমরা দাঁড়াচ্ছিলাম না,উই ওয়ারন্ট স্ট্যান্ডিং
We weren't listening,আমরা শুনছিলাম না,উই ওয়ারন্ট লিসেনিং
We weren't looking,আমরা তাকাচ্ছিলাম না,উই ওয়ারন্ট লুকিং
We weren't loving,আমরা ভালোবাসছিলাম না,উই ওয়ারন্ট লাভিং
We weren't wanting,আমরা চাইছিলাম না,উই ওয়ারন্ট ওয়ান্টিং
We weren't thinking,আমরা ভাবছিলাম না,উই ওয়ারন্ট থিংকিং
We weren't knowing,আমরা জানছিলাম না,উই ওয়ারন্ট নোইং
We weren't learning,আমরা শিখছিলাম না,উই ওয়ারন্ট লার্নিং
We weren't cooking,আমরা রান্না করছিলাম না,উই ওয়ারন্ট কুকিং
We weren't speaking,আমরা কথা বলছিলাম না,উই ওয়ারন্ট স্পিকিং
We weren't talking,আমরা কথা বলছিলাম না,উই ওয়ারন্ট টকিং
We weren't opening,আমরা খুলছিলাম না,উই ওয়ারন্ট ওপেনিং
We weren't closing,আমরা বন্ধ করছিলাম না,উই ওয়ারন্ট ক্লোজিং
We weren't waiting,আমরা অপেক্ষা করছিলাম না,উই ওয়ারন্ট ওয়েটিং
We weren't trying,আমরা চেষ্টা করছিলাম না,উই ওয়ারন্ট ট্রাইং
We weren't living,আমরা বাস করছিলাম না,উই ওয়ারন্ট লিভিং
We weren't helping,আমরা সাহায্য করছিলাম না,উই ওয়ারন্ট হেল্পিং
We weren't calling,আমরা ডাকছিলাম না,উই ওয়ারন্ট কলিং
We weren't asking,আমরা জিজ্ঞাসা করছিলাম না,উই ওয়ারন্ট আস্কিং
