I am a student., আমি একজন ছাত্র।, আই অ্যাম আ স্টুডেন্ট।
He is my brother., সে আমার ভাই।, হি ইজ মাই ব্রাদার।
They are happy., তারা খুশি।, দে আর হ্যাপি।
It is a cat., এটি একটি বিড়াল।, ইট ইজ আ ক্যাট।
We are ready., আমরা প্রস্তুত।, উই আর রেডি।
She is very kind., সে খুব দয়ালু।, শি ইজ ভেরি কাইন্ড।
The food is hot., খাবারটি গরম।, দ্য ফুড ইজ হট।
You are late., তোমার দেরি হয়েছে।, ইউ আর লেট।
The sky is blue., আকাশ নীল।, দ্য স্কাই ইজ ব্লু।
I am thirsty., আমার তৃষ্ণা পেয়েছে।, আই অ্যাম থার্স্টি।
Flowers are beautiful., ফুলগুলো সুন্দর।, ফ্লাওয়ারস আর বিউটিফুল।
He was tired., সে ক্লান্ত ছিল।, হি ওয়াজ টায়ার্ড।
They were busy., তারা ব্যস্ত ছিল।, দে ওয়্যার বিজি।
The book is on the table., বইটি টেবিলের ওপর।, দ্য বুক ইজ অন দ্য টেবিল।
I am at home., আমি বাড়িতে আছি।, আই অ্যাম অ্যাট হোম।
It was a cold day., এটি একটি ঠান্ডা দিন ছিল।, ইট ওয়াজ আ কোল্ড ডে।
The keys are in the bag., চাবিগুলো ব্যাগের ভেতর।, দ্য কীজ আর ইন দ্য ব্যাগ।
She is a doctor., সে একজন ডাক্তার।, শি ইজ আ ডক্টর।
We were friends., আমরা বন্ধু ছিলাম।, উই ওয়্যার ফ্রেন্ডস।
The door is open., দরজাটি খোলা।, দ্য ডোর ইজ ওপেন।
I am sure., আমি নিশ্চিত।, আই অ্যাম সিওর।
