Root (V1),Past (V2),Past Participle (V3),Bengali Meaning,Common Local Sentence
Accept,Accepted,Accepted,গ্রহণ করা,They accepted my invitation.
Add,Added,Added,যোগ করা,Please add some sugar to the tea.
Advise,Advised,Advised,উপদেশ দেওয়া,My teacher advised me to study hard.
Agree,Agreed,Agreed,রাজি হওয়া,I agree with your point.
Allow,Allowed,Allowed,অনুমতি দেওয়া,My parents allowed me to go out.
Answer,Answered,Answered,উত্তর দেওয়া,He answered all the questions.
Arrive,Arrived,Arrived,পৌঁছানো,The train arrived on time.
Ask,Asked,Asked,জিজ্ঞাসা করা,I asked him for his name.
Become,Became,Become,হওয়া,He became a doctor last year.
Begin,Began,Begun,শুরু করা,The match began at 10 AM.
Believe,Believed,Believed,বিশ্বাস করা,I believe in honest work.
Break,Broke,Broken,ভাঙা,Who broke the glass?
Bring,Brought,Brought,আনা,Did you bring the file?
Build,Built,Built,নির্মাণ করা,They built a new bridge here.
Buy,Bought,Bought,কেনা,I bought some vegetables from the market.
Call,Called,Called,ডাকা,Please call me later.
Change,Changed,Changed,পরিবর্তন করা,I need to change my clothes.
Choose,Chose,Chosen,পছন্দ করা,Choose the best one from here.
Clean,Cleaned,Cleaned,পরিষ্কার করা,Clean your room properly.
Close,Closed,Closed,বন্ধ করা,Please close the door.
Come,Came,Come,আসা,He came to my house yesterday.
Cook,Cooked,Cooked,রান্না করা,My mother cooked delicious biryani.
Cut,Cut,Cut,কাটা,Don't cut the trees.
Decide,Decided,Decided,সিদ্ধান্ত নেওয়া,I decided to join the course.
Do,Did,Done,করা,I did my homework already.
Drink,Drank,Drunk,পান করা,Drink plenty of water.
Drive,Drove,Driven,চালানো,He drives very fast.
Eat,Ate,Eaten,খাওয়া,I ate rice and dal for lunch.
Explain,Explained,Explained,ব্যাখ্যা করা,Can you explain this again?
Fall,Fell,Fallen,পড়ে যাওয়া,Be careful or you will fall.
Feel,Felt,Felt, অনুভব করা,I feel very tired today.
Find,Found,Found,খুঁজে পাওয়া,I found my lost keys.
Finish,Finished,Finished,শেষ করা,Finish your work quickly.
Forget,Forgot,Forgotten,ভুলে যাওয়া,I forgot my umbrella.
Get,Got,Gotten,পাওয়া,I got a gift from my friend.
Give,Gave,Given,দেওয়া,Please give me a glass of water.
Go,Went,Gone,যাওয়া,I go to office every day.
Grow,Grew,Grown,জন্মানো,Rice grows well in this soil.
Help,Helped,Helped,সাহায্য করা,Please help me with this bag.
Hope,Hoped,Hoped,আশা করা,I hope you pass the exam.
Join,Joined,Joined,যোগদান করা,I joined the new office today.
Keep,Kept,Kept,রাখা,Keep the book on the table.
Know,Knew,Known,জানা,I know him very well.
Learn,Learnt,Learnt,শেখা,I want to learn English.
Leave,Left,Left,ত্যাগ করা,The bus left the station.
Listen,Listened,Listened,শোনা,Listen to what I am saying.
Live,Lived,Lived,বাস করা,We live in a big city.
Look,Looked,Looked,তাকানো,Look at the blackboard.
Love,Loved,Loved,ভালোবাসা,I love my country.
Make,Made,Made,তৈরি করা,She made tea for everyone.
Meet,Met,Met,সাক্ষাৎ করা,I will meet you tomorrow.
Open,Opened,Opened,খোলা,Open the window for fresh air.
Pay,Paid,Paid,পরিশোধ করা,I paid the electric bill.
Play,Played,Played,খেলা করা,Children are playing in the field.
Put,Put,Put,রাখা,Put your signature here.
Read,Read,Read,পড়া,I read the newspaper daily.
Remember,Remembered,Remembered,মনে রাখা,I remember your face.
Run,Ran,Run,দৌড়ানো,The boy ran very fast.
Say,Said,Said,বলা,What did you say?
See,Saw,Seen,দেখা,I saw a movie yesterday.
Sell,Sold,Sold,বিক্রি করা,He sells fruits in the market.
Send,Sent,Sent,পাঠানো,I sent you an email.
Show,Showed,Shown,দেখানো,Show me your identity card.
Sing,Sang,Sung,গান করা,She sings very well.
Sit,Sat,Sat,বসা,Please sit down here.
Sleep,Slept,Slept,ঘুমানো,I sleep at 10 PM.
Speak,Spoke,Spoken,কথা বলা,He speaks Bengali very well.
Spend,Spent,Spent,ব্যয় করা,Don't spend too much money.
Stand,Stood,Stood,দাঁড়ানো,Stand up on the bench.
Study,Studied,Studied,পড়াশোনা করা,I study in class ten.
Take,Took,Taken,নেওয়া,Take your medicine on time.
Talk,Talked,Talked,কথা বলা,I will talk to you later.
Teach,Taught,Taught,শেখানো,My father taught me math.
Tell,Told,Told,বলা,Tell me the truth.
Think,Thought,Thought,চিন্তা করা,I think he is right.
Try,Tried,Tried,চেষ্টা করা,Try to do your best.
Understand,Understood,Understood,বুঝতে পারা,Do you understand my words?
Use,Used,Used,ব্যবহার করা,Can I use your phone?
Wait,Waited,Waited,অপেক্ষা করা,Please wait for five minutes.
Walk,Walked,Walked,হাঁটা,I walk in the morning.
Want,Wanted,Wanted,চাওয়া,I want a cup of coffee.
Wash,Washed,Washed,ধোয়া,Wash your hands before eating.
Watch,Watched,Watched,দেখা,We watched the cricket match.
Win,Won,Won,জয়ী হওয়া,Our team won the trophy.
Work,Worked,Worked,কাজ করা,I work in a private bank.
Write,Wrote,Written,লেখা,I wrote a letter to him.
