Abide by, মেনে চলা, অ্যাবাইড বাই
Abstain from, বিরত থাকা, অ্যাবস্টেইন ফ্রম
Attentive to, মনোযোগী, অ্যাটেন্টিভ টু
Annoy at, বিরক্ত করা, অ্যানয় অ্যাট
Atone for, প্রায়শ্চিত্ত, অ্যাটোন ফর
Apologize for, ক্ষমা চাওয়া, অ্যাপলোজাইজ ফর
Acceptable to, গ্রহণযোগ্য, অ্যাকসেপ্টেবল টু
Agree to, প্রস্তাব, এগ্রি টু
Absent from, অনুপস্থিত, অ্যাবসেন্ট ফ্রম
Attach to, সংযুক্ত, অ্যাটাচ টু
Associate with, সহযোগী করা, অ্যাসোসিয়েট উইথ
A good deal of, অনেকটা, আ গুড ডিল অফ
At a loss, কিংকর্তব্যবিমূঢ়, অ্যাট আ লস
Addicted to, আসক্ত, অ্যাডিক্টেড টু
Attraction for, আকর্ষণ, অ্যাট্রাকশন ফর
According to, অনুসারে, অ্যাকর্ডিং টু
Acquaint to/with, পরিচিত (ব্যক্তি/বস্তু), অ্যাকুয়েন্ট টু/উইথ
Adjust to, মানিয়ে নেওয়া, অ্যাডজাস্ট টু
Agree with, ব্যক্তির সাথে রাজি হওয়া, এগ্রি উইথ
Aim at, রাজি হওয়া, এইম অ্যাট
Appoint to, নিয়োগ করা, অ্যাপয়েন্ট টু
Adhere to, লেগে থাকা, অ্যাডহিয়ার টু
Adequate to, পর্যাপ্ত, অ্যাডিকুয়েট টু
Afraid of, ভীত, অ্যাফ্রেইড অফ
Anxious about, চিন্তিত, অ্যাংকশাস অ্যাবাউট
Appropriate to, উপযুক্ত, অ্যাপ্রোপ্রিয়েট টু
Aware of, অবগত, অ্যাওয়্যার অফ
Ambition for, উচ্চাকাঙ্ক্ষা, অ্যাম্বিশন ফর
Aspire after, উচ্চ আশা করা, অ্যাসপায়ার আফটার
Ache for, দরদ, এইক ফর
Admit to/into, ভর্তি হওয়া, অ্যাডমিট টু/ইনটু
Based on, ভিত্তি করে, বেসড অন
Break out, ছড়িয়ে পড়া, ব্রেক আউট
Build up, নির্মাণ করা, বিল্ড আপ
Build with, নির্মাণ করা (উপাদান), বিল্ড উইথ
Believe in, বিশ্বাস করা, বিলিভ ইন
Belong to, অন্তর্ভুক্ত, বিলং টু
Benefit of, উপকারিতা, বেনিফিট অফ
Blow away, উড়াইয়া নেওয়া, ব্লো অ্যাওয়ে
Boast of, দম্ভ করা, বোস্ট অফ
Break out, প্রাদুর্ভাব হওয়া, ব্রেক আউট
Break up, অবসান ঘটা, ব্রেক আপ
Bound to, বাধ্য করা, বাউন্ড টু
Break down, ভেঙে পড়া, ব্রেক ডাউন
Beset with, বিজড়িত, বিসেট উইথ
Burst out, হাসিতে ফেটে পড়া, বার্স্ট আউট
Bring up, লালন পালন করা, ব্রিং আপ
Born in, জন্ম, বর্ন ইন
Connection to, ব্যক্তির সাথে সংযুক্ত, কানেকশন টু
Connection with, বস্তুর সাথে সংযুক্ত, কানেকশন উইথ
Close to, নিকটে, ক্লোজ টু
Clue to, সূত্র, ক্লু টু
Call off, প্রত্যাহার করা, কল অফ
Carry on, চালিয়ে যাওয়া, ক্যারি অন
