I won't be playing,আমি খেলতে থাকব না,আই ওয়োন্ট বি প্লেয়িং
I won't be running,আমি দৌড়াইতে থাকব না,আই ওয়োন্ট বি রানিং
I won't be eating,আমি খাইতে থাকব না,আই ওয়োন্ট বি ইটিং
I won't be doing,আমি করতে থাকব না,আই ওয়োন্ট বি ডুইং
I won't be walking,আমি হাঁটতে থাকব না,আই ওয়োন্ট বি ওয়াকিং
I won't be going,আমি যাইতে থাকব না,আই ওয়োন্ট বি গোইং
I won't be coming,আমি আসতে থাকব না,আই ওয়োন্ট বি কামিং
I won't be reading,আমি পড়তে থাকব না,আই ওয়োন্ট বি রিডিং
I won't be writing,আমি লিখতে থাকব না,আই ওয়োন্ট বি রাইটিং
I won't be working,আমি কাজ করতে থাকব না,আই ওয়োন্ট বি ওয়ার্কিং
I won't be sleeping,আমি ঘুমাইতে থাকব না,আই ওয়োন্ট বি স্লিপিং
I won't be drinking,আমি পান করতে থাকব না,আই ওয়োন্ট বি ড্রিঙ্কিং
I won't be sitting,আমি বসতে থাকব না,আই ওয়োন্ট বি সিটিং
I won't be standing,আমি দাঁড়াইতে থাকব না,আই ওয়োন্ট বি স্ট্যান্ডিং
I won't be listening,আমি শুনতে থাকব না,আই ওয়োন্ট বি লিসেনিং
I won't be looking,আমি তাকাইতে থাকব না,আই ওয়োন্ট বি লুকিং
I won't be loving,আমি ভালোবাসতে থাকব না,আই ওয়োন্ট বি লাভিং
I won't be wanting,আমি চাইতে থাকব না,আই ওয়োন্ট বি ওয়ান্টিং
I won't be thinking,আমি ভাবতে থাকব না,আই ওয়োন্ট বি থিংকিং
I won't be knowing,আমি জানতে থাকব না,আই ওয়োন্ট বি নোইং
I won't be learning,আমি শিখতে থাকব না,আই ওয়োন্ট বি লার্নিং
I won't be cooking,আমি রান্না করতে থাকব না,আই ওয়োন্ট বি কুকিং
I won't be speaking,আমি কথা বলতে থাকব না,আই ওয়োন্ট বি স্পিকিং
I won't be talking,আমি কথা বলতে থাকব না,আই ওয়োন্ট বি টকিং
I won't be opening,আমি খুলতে থাকব না,আই ওয়োন্ট বি ওপেনিং
I won't be closing,আমি বন্ধ করতে থাকব না,আই ওয়োন্ট বি ক্লোজিং
I won't be waiting,আমি অপেক্ষা করতে থাকব না,আই ওয়োন্ট বি ওয়েটিং
I won't be trying,আমি চেষ্টা করতে থাকব না,আই ওয়োন্ট বি ট্রাইং
I won't be living,আমি বাস করতে থাকব না,আই ওয়োন্ট বি লিভিং
