I wasn't playing,আমি খেলছিলাম না,আই ওয়াজন্ট প্লেয়িং
I wasn't running,আমি দৌড়াচ্ছিলাম না,আই ওয়াজন্ট রানিং
I wasn't eating,আমি খাচ্ছিলাম না,আই ওয়াজন্ট ইটিং
I wasn't doing,আমি করছিলাম না,আই ওয়াজন্ট ডুইং
I wasn't walking,আমি হাঁটছিলাম না,আই ওয়াজন্ট ওয়াকিং
I wasn't going,আমি যাচ্ছিলাম না,আই ওয়াজন্ট গোইং
I wasn't coming,আমি আসছিলাম না,আই ওয়াজন্ট কামিং
I wasn't reading,আমি পড়ছিলাম না,আই ওয়াজন্ট রিডিং
I wasn't writing,আমি লিখছিলাম না,আই ওয়াজন্ট রাইটিং
I wasn't working,আমি কাজ করছিলাম না,আই ওয়াজন্ট ওয়ার্কিং
I wasn't sleeping,আমি ঘুমাচ্ছিলাম না,আই ওয়াজন্ট স্লিপিং
I wasn't drinking,আমি পান করছিলাম না,আই ওয়াজন্ট ড্রিঙ্কিং
I wasn't sitting,আমি বসছিলাম না,আই ওয়াজন্ট সিটিং
I wasn't standing,আমি দাঁড়াচ্ছিলাম না,আই ওয়াজন্ট স্ট্যান্ডিং
I wasn't listening,আমি শুনছিলাম না,আই ওয়াজন্ট লিসেনিং
I wasn't looking,আমি তাকাচ্ছিলাম না,আই ওয়াজন্ট লুকিং
I wasn't loving,আমি ভালোবাসছিলাম না,আই ওয়াজন্ট লাভিং
I wasn't wanting,আমি চাইছিলাম না,আই ওয়াজন্ট ওয়ান্টিং
I wasn't thinking,আমি ভাবছিলাম না,আই ওয়াজন্ট থিংকিং
I wasn't knowing,আমি জানছিলাম না,আই ওয়াজন্ট নোইং
I wasn't learning,আমি শিখছিলাম না,আই ওয়াজন্ট লার্নিং
I wasn't cooking,আমি রান্না করছিলাম না,আই ওয়াজন্ট কুকিং
I wasn't speaking,আমি কথা বলছিলাম না,আই ওয়াজন্ট স্পিকিং
I wasn't talking,আমি কথা বলছিলাম না,আই ওয়াজন্ট টকিং
I wasn't opening,আমি খুলছিলাম না,আই ওয়াজন্ট ওপেনিং
I wasn't closing,আমি বন্ধ করছিলাম না,আই ওয়াজন্ট ক্লোজিং
I wasn't waiting,আমি অপেক্ষা করছিলাম না,আই ওয়াজন্ট ওয়েটিং
I wasn't trying,আমি চেষ্টা করছিলাম না,আই ওয়াজন্ট ট্রাইং
I wasn't living,আমি বাস করছিলাম না,আই ওয়াজন্ট লিভিং
I wasn't helping,আমি সাহায্য করছিলাম না,আই ওয়াজন্ট হেল্পিং
I wasn't calling,আমি ডাকছিলাম না,আই ওয়াজন্ট কলিং
I wasn't asking,আমি জিজ্ঞাসা করছিলাম না,আই ওয়াজন্ট আস্কিং
I wasn't taking,আমি নিচ্ছিলাম না,আই ওয়াজন্ট টেকিং
I wasn't giving,আমি দিচ্ছিলাম না,আই ওয়াজন্ট গিভিং
I wasn't seeing,আমি দেখছিলাম না,আই ওয়াজন্ট সিইং
I wasn't hearing,আমি শুনছিলাম না,আই ওয়াজন্ট হিয়ারিং
I wasn't feeling,আমি অনুভব করছিলাম না,আই ওয়াজন্ট ফিলিং
I wasn't understanding,আমি বুঝছিলাম না,আই ওয়াজন্ট আন্ডারস্ট্যান্ডিং
I wasn't singing,আমি গান করছিলাম না,আই ওয়াজন্ট সিংইং
I wasn't swimming,আমি সাঁতার কাটছিলাম না,আই ওয়াজন্ট সুইমিং
I wasn't driving,আমি গাড়ি চালাচ্ছিলাম না,আই ওয়াজন্ট ড্রাইভিং
I wasn't studying,আমি পড়াশোনা করছিলাম না,আই ওয়াজন্ট স্টাডিইং
