You weren't playing,তুমি খেলছিলে না,ইউ ওয়ারন্ট প্লেয়িং
You weren't running,তুমি দৌড়াচ্ছিলে না,ইউ ওয়ারন্ট রানিং
You weren't eating,তুমি খাচ্ছিলে না,ইউ ওয়ারন্ট ইটিং
You weren't doing,তুমি করছিলে না,ইউ ওয়ারন্ট ডুইং
You weren't walking,তুমি হাঁটছিলে না,ইউ ওয়ারন্ট ওয়াকিং
You weren't going,তুমি যাচ্ছিলে না,ইউ ওয়ারন্ট গোইং
You weren't coming,তুমি আসছিলে না,ইউ ওয়ারন্ট কামিং
You weren't reading,তুমি পড়ছিলে না,ইউ ওয়ারন্ট রিডিং
You weren't writing,তুমি লিখছিলে না,ইউ ওয়ারন্ট রাইটিং
You weren't working,তুমি কাজ করছিলে না,ইউ ওয়ারন্ট ওয়ার্কিং
You weren't sleeping,তুমি ঘুমাচ্ছিলে না,ইউ ওয়ারন্ট স্লিপিং
You weren't drinking,তুমি পান করছিলে না,ইউ ওয়ারন্ট ড্রিঙ্কিং
You weren't sitting,তুমি বসছিলে না,ইউ ওয়ারন্ট সিটিং
You weren't standing,তুমি দাঁড়াচ্ছিলে না,ইউ ওয়ারন্ট স্ট্যান্ডিং
You weren't listening,তুমি শুনছিলে না,ইউ ওয়ারন্ট লিসেনিং
You weren't looking,তুমি তাকাচ্ছিলে না,ইউ ওয়ারন্ট লুকিং
You weren't loving,তুমি ভালোবাসছিলে না,ইউ ওয়ারন্ট লাভিং
You weren't wanting,তুমি চাইছিলে না,ইউ ওয়ারন্ট ওয়ান্টিং
You weren't thinking,তুমি ভাবছিলে না,ইউ ওয়ারন্ট থিংকিং
You weren't knowing,তুমি জানছিলে না,ইউ ওয়ারন্ট নোইং
You weren't learning,তুমি শিখছিলে না,ইউ ওয়ারন্ট লার্নিং
You weren't cooking,তুমি রান্না করছিলে না,ইউ ওয়ারন্ট কুকিং
You weren't speaking,তুমি কথা বলছিলে না,ইউ ওয়ারন্ট স্পিকিং
You weren't talking,তুমি কথা বলছিলে না,ইউ ওয়ারন্ট টকিং
You weren't opening,তুমি খুলছিলে না,ইউ ওয়ারন্ট ওপেনিং
You weren't closing,তুমি বন্ধ করছিলে না,ইউ ওয়ারন্ট ক্লোজিং
