Are They playing?,তারা কি খেলছে?,আর দে প্লেয়িং
Are They running?,তারা কি দৌড়াচ্ছে?,আর দে রানিং
Are They eating?,তারা কি খাচ্ছে?,আর দে ইটিং
Are They doing?,তারা কি করছে?,আর দে ডুইং
Are They walking?,তারা কি হাঁটছে?,আর দে ওয়াকিং
Are They going?,তারা কি যাচ্ছে?,আর দে গোইং
Are They coming?,তারা কি আসছে?,আর দে কামিং
Are They reading?,তারা কি পড়ছে?,আর দে রিডিং
Are They writing?,তারা কি লিখছে?,আর দে রাইটিং
Are They working?,তারা কি কাজ করছে?,আর দে ওয়ার্কিং
Are They sleeping?,তারা কি ঘুমাচ্ছে?,আর দে স্লিপিং
Are They drinking?,তারা কি পান করছে?,আর দে ড্রিঙ্কিং
Are They sitting?,তারা কি বসছে?,আর দে সিটিং
Are They standing?,তারা কি দাঁড়াচ্ছে?,আর দে স্ট্যান্ডিং
Are They listening?,তারা কি শুনছে?,আর দে লিসেনিং
Are They looking?,তারা কি তাকাচ্ছে?,আর দে লুকিং
Are They loving?,তারা কি ভালোবাসছে?,আর দে লাভিং
Are They wanting?,তারা কি চাইছে?,আর দে ওয়ান্টিং
Are They thinking?,তারা কি ভাবছে?,আর দে থিংকিং
Are They knowing?,তারা কি জানছে?,আর দে নোইং
Are They learning?,তারা কি শিখছে?,আর দে লার্নিং
Are They cooking?,তারা কি রান্না করছে?,আর দে কুকিং
Are They speaking?,তারা কি কথা বলছে?,আর দে স্পিকিং
Are They talking?,তারা কি কথা বলছে?,আর দে টকিং
Are They opening?,তারা কি খুলছে?,আর দে ওপেনিং
Are They closing?,তারা কি বন্ধ করছে?,আর দে ক্লোজিং
Are They waiting?,তারা কি অপেক্ষা করছে?,আর দে ওয়েটিং
Are They trying?,তারা কি চেষ্টা করছে?,আর দে ট্রাইং
Are They living?,তারা কি বাস করছে?,আর দে লিভিং
Are They helping?,তারা কি সাহায্য করছে?,আর দে হেল্পিং
Are They calling?,তারা কি ডাকছে?,আর দে কলিং
Are They asking?,তারা কি জিজ্ঞাসা করছে?,আর দে আস্কিং
Are They taking?,তারা কি নিচ্ছে?,আর দে টেকিং
Are They giving?,তারা কি দিচ্ছে?,আর দে গিভিং
Are They seeing?,তারা কি দেখছে?,আর দে সিইং
Are They hearing?,তারা কি শুনছে?,আর দে হিয়ারিং
Are They feeling?,তারা কি অনুভব করছে?,আর দে ফিলিং
Are They understanding?,তারা কি বুঝছে?,আর দে আন্ডারস্ট্যান্ডিং
Are They singing?,তারা কি গান করছে?,আর দে সিংইং
Are They swimming?,তারা কি সাঁতার কাটছে?,আর দে সুইমিং
