Root (V1)	Past (V2/V3)	Bengali Meaning
Accept	Accepted	গ্রহণ করা
Add	Added	যোগ করা
Admire	Admired	প্রশংসা করা
Advise	Advised	উপদেশ দেওয়া
Agree	Agreed	রাজি হওয়া
Allow	Allowed	অনুমতি দেওয়া
Announce	Announced	ঘোষণা করা
Answer	Answered	উত্তর দেওয়া
Appear	Appeared	উপস্থিত হওয়া
Apply	Applied	আবেদন করা
Argue	Argued	তর্ক করা
Arrive	Arrived	পৌঁছানো
Ask	Asked	জিজ্ঞাসা করা
Attack	Attacked	আক্রমণ করা
Avoid	Avoided	এড়িয়ে চলা
Bake	Baked	সেঁকা / বেক করা
Beg	Begged	ভিক্ষা করা / প্রার্থনা করা
Behave	Behaved	আচরণ করা
Believe	Believed	বিশ্বাস করা
Borrow	Borrowed	ধার করা
Call	Called	ডাকা
Cancel	Cancelled	বাতিল করা
Change	Changed	পরিবর্তন করা
Clean	Cleaned	পরিষ্কার করা
Close	Closed	বন্ধ করা
Compare	Compared	তুলনা করা
Complain	Complained	অভিযোগ করা
Complete	Completed	সম্পন্ন করা
Confirm	Confirmed	নিশ্চিত করা
Cook	Cooked	রান্না করা
Copy	Copied	নকল করা
Count	Counted	গণনা করা
Create	Created	সৃষ্টি করা
Cry	Cried	কাঁদা
Dance	Danced	নাচা
Decide	Decided	সিদ্ধান্ত নেওয়া
Describe	Described	বর্ণনা করা
Destroy	Destroyed	ধ্বংস করা
Die	Died	মারা যাওয়া
Divide	Divided	ভাগ করা
Dress	Dressed	পোশাক পরা
Dry	Dried	শুকানো
Earn	Earned	আয় করা
Educate	Educated	শিক্ষিত করা
Enjoy	Enjoyed	উপভোগ করা
Enter	Entered	প্রবেশ করা
Explain	Explained	ব্যাখ্যা করা
Fail	Failed	ব্যর্থ হওয়া
Fear	Feared	ভয় পাওয়া
Finish	Finished	শেষ করা
Fix	Fixed	মেরামত করা
Follow	Followed	অনুসরণ করা
Guess	Guessed	অনুমান করা
Happen	Happened	ঘটা
Hate	Hated	ঘৃণা করা
Help	Helped	সাহায্য করা
Hope	Hoped	আশা করা
Imagine	Imagined	কল্পনা করা
Improve	Improved	উন্নতি করা
Include	Included	অন্তর্ভুক্ত করা
Inform	Informed	জানানো
Insult	Insulted	অপমান করা
Invite	Invited	আমন্ত্রণ জানানো
Join	Joined	যোগদান করা
Jump	Jumped	লাফানো
Kill	Killed	হত্যা করা
Kiss	Kissed	চুম্বন করা
Laugh	Laughed	হাসা
Lie	Lied	মিথ্যা বলা
Like	Liked	পছন্দ করা
Listen	Listened	শোনা
Live	Lived	বাস করা
Look	Looked	তাকানো
Love	Loved	ভালোবাসা
Manage	Managed	পরিচালনা করা
Marry	Married	বিয়ে করা
Measure	Measured	পরিমাপ করা
Move	Moved	নড়াচড়া করা
Notice	Noticed	লক্ষ করা
Obey	Obeyed	মান্য করা
Open	Opened	খোলা
Order	Ordered	আদেশ করা
Paint	Painted	রং করা
Pass	Passed	অতিক্রম করা
Phone	Phoned	ফোন করা
Plan	Planned	পরিকল্পনা করা
Play	Played	খেলা করা
Pray	Prayed	প্রার্থনা করা
Prepare	Prepared	প্রস্তুত করা
Promise	Promised	প্রতিজ্ঞা করা
Pull	Pulled	টানা
Push	Pushed	ঠেলা দেওয়া
Rain	Rained	বৃষ্টি হওয়া
Reach	Reached	পৌঁছানো
Refuse	Refused	প্রত্যাখ্যান করা
Relax	Relaxed	বিশ্রাম নেওয়া
Remember	Remembered	মনে রাখা
Repair	Repaired	মেরামত করা
Repeat	Repeated	পুনরাবৃত্তি করা
Reply	Replied	উত্তর দেওয়া
Save	Saved	রক্ষা করা / জমানো
Search	Searched	খোঁজা
Seem	Seemed	মনে হওয়া
Select	Selected	নির্বাচন করা
Serve	Served	সেবা করা
Shop	Shopped	কেনাকাটা করা
Shout	Shouted	চিৎকার করা
Smile	Smiled	হাসা
Start	Started	শুরু করা
Stop	Stopped	থামা
Study	Studied	পড়াশোনা করা
Talk	Talked	কথা বলা
Taste	Tasted	স্বাদ নেওয়া
Thank	Thanked	ধন্যবাদ দেওয়া
Touch	Touched	স্পর্শ করা
Travel	Travelled	ভ্রমণ করা
Trust	Trusted	বিশ্বাস করা
Try	Tried	চেষ্টা করা
Use	Used	ব্যবহার করা
Visit	Visited	পরিদর্শন করা
Wait	Waited	অপেক্ষা করা
Walk	Walked	হাঁটা
Want	Wanted	চাওয়া
Wash	Washed	ধোয়া
Watch	Watched	দেখা / পাহারা দেওয়া
Welcome	Welcomed	স্বাগত জানানো
Work	Worked	কাজ করা
Worry	Worried	দুশ্চিন্তা করা
