Sit down, বসো, সিট ডাউন
Stand up, দাঁড়াও, স্ট্যান্ড আপ
Come here, এখানে আসো, কাম হিয়ার
Go there, ওখানে যাও, গো দেয়ার
Be quiet, শান্ত থাকো, বি কোয়ায়েট
Don't move, নড়বে না, ডোন্ট মুভ
Look here, এখানে দেখো, লুক হিয়ার
Wake up, জাগো, ওয়েক আপ
Help me, সাহায্য করো, হেল্প মি
Speak up, জোরে বলো, স্পিক আপ
Hurry up, তাড়াতাড়ি করো, হারি আপ
Stay here, এখানে থাকো, স্টে হিয়ার
Try again, আবার চেষ্টা করো, ট্রাই এগেইন
Don't cry, কেঁদো না, ডোন্ট ক্রাই
Keep quiet, চুপ থাকো, কিপ কোয়ায়েট
Go back, ফিরে যাও, গো ব্যাক
Come back, ফিরে আসো, কাম ব্যাক
Take care, নিজের যত্ন নিও, টেক কেয়ার
Good morning, শুভ সকাল, গুড মর্নিং
Good night, শুভ রাত্রি, গুড নাইট
Don't worry, চিন্তা করো না, ডোন্ট ওয়ারি
Listen carefully, মন দিয়ে শোনো, লিসেন কেয়ারফুলি
Eat properly, ঠিক করে খাও, ইট প্রপারলি
Watch out, সাবধানে, ওয়াচ আউট
