Weren't They playing?,তারা কি খেলছিল না?,ওয়ারন্ট দে প্লেয়িং
Weren't They running?,তারা কি দৌড়াচ্ছিল না?,ওয়ারন্ট দে রানিং
Weren't They eating?,তারা কি খাচ্ছিল না?,ওয়ারন্ট দে ইটিং
Weren't They doing?,তারা কি করছিল না?,ওয়ারন্ট দে ডুইং
Weren't They walking?,তারা কি হাঁটছিল না?,ওয়ারন্ট দে ওয়াকিং
Weren't They going?,তারা কি যাচ্ছিল না?,ওয়ারন্ট দে গোইং
Weren't They coming?,তারা কি আসছিল না?,ওয়ারন্ট দে কামিং
Weren't They reading?,তারা কি পড়ছিল না?,ওয়ারন্ট দে রিডিং
Weren't They writing?,তারা কি লিখছিল না?,ওয়ারন্ট দে রাইটিং
Weren't They working?,তারা কি কাজ করছিল না?,ওয়ারন্ট দে ওয়ার্কিং
Weren't They sleeping?,তারা কি ঘুমাচ্ছিল না?,ওয়ারন্ট দে স্লিপিং
Weren't They drinking?,তারা কি পান করছিল না?,ওয়ারন্ট দে ড্রিঙ্কিং
Weren't They sitting?,তারা কি বসছিল না?,ওয়ারন্ট দে সিটিং
Weren't They standing?,তারা কি দাঁড়াচ্ছিল না?,ওয়ারন্ট দে স্ট্যান্ডিং
Weren't They listening?,তারা কি শুনছিল না?,ওয়ারন্ট দে লিসেনিং
Weren't They looking?,তারা কি তাকাচ্ছিল না?,ওয়ারন্ট দে লুকিং
Weren't They loving?,তারা কি ভালোবাসছিল না?,ওয়ারন্ট দে লাভিং
Weren't They wanting?,তারা কি চাইছিল না?,ওয়ারন্ট দে ওয়ান্টিং
Weren't They thinking?,তারা কি ভাবছিল না?,ওয়ারন্ট দে থিংকিং
Weren't They knowing?,তারা কি জানছিল না?,ওয়ারন্ট দে নোইং
Weren't They learning?,তারা কি শিখছিল না?,ওয়ারন্ট দে লার্নিং
Weren't They cooking?,তারা কি রান্না করছিল না?,ওয়ারন্ট দে কুকিং
Weren't They speaking?,তারা কি কথা বলছিল না?,ওয়ারন্ট দে স্পিকিং
Weren't They talking?,তারা কি কথা বলছিল না?,ওয়ারন্ট দে টকিং
Weren't They opening?,তারা কি খুলছিল না?,ওয়ারন্ট দে ওপেনিং
Weren't They closing?,তারা কি বন্ধ করছিল না?,ওয়ারন্ট দে ক্লোজিং
Weren't They waiting?,তারা কি অপেক্ষা করছিল না?,ওয়ারন্ট দে ওয়েটিং
Weren't They trying?,তারা কি চেষ্টা করছিল না?,ওয়ারন্ট দে ট্রাইং
Weren't They living?,তারা কি বাস করছিল না?,ওয়ারন্ট দে লিভিং
Weren't They helping?,তারা কি সাহায্য করছিল না?,ওয়ারন্ট দে হেল্পিং
Weren't They calling?,তারা কি ডাকছিল না?,ওয়ারন্ট দে কলিং
Weren't They asking?,তারা কি জিজ্ঞাসা করছিল না?,ওয়ারন্ট দে আস্কিং
Weren't They taking?,তারা কি নিচ্ছিল না?,ওয়ারন্ট দে টেকিং
Weren't They giving?,তারা কি দিচ্ছিল না?,ওয়ারন্ট দে গিভিং
Weren't They seeing?,তারা কি দেখছিল না?,ওয়ারন্ট দে সিইং
Weren't They hearing?,তারা কি শুনছিল না?,ওয়ারন্ট দে হিয়ারিং
Weren't They feeling?,তারা কি অনুভব করছিল না?,ওয়ারন্ট দে ফিলিং
Weren't They understanding?,তারা কি বুঝছিল না?,ওয়ারন্ট দে আন্ডারস্ট্যান্ডিং
Weren't They singing?,তারা কি গান করছিল না?,ওয়ারন্ট দে সিংইং
Weren't They swimming?,তারা কি সাঁতার কাটছিল না?,ওয়ারন্ট দে সুইমিং
Weren't They driving?,তারা কি গাড়ি চালাচ্ছিল না?,ওয়ারন্ট দে ড্রাইভিং
Weren't They studying?,তারা কি পড়াশোনা করছিল না?,ওয়ারন্ট দে স্টাডিইং
Weren't They washing?,তারা কি ধুছিল না?,ওয়ারন্ট দে ওয়াশিং
Weren't They watching?,তারা কি দেখছিল না?,ওয়ারন্ট দে ওয়াচিং
Weren't They buying?,তারা কি কিনছিল না?,ওয়ারন্ট দে বাইইং
Weren't They selling?,তারা কি বিক্রি করছিল না?,ওয়ারন্ট দে সেলিং
Weren't They making?,তারা কি তৈরি করছিল না?,ওয়ারন্ট দে মেকিং
Weren't They cleaning?,তারা কি পরিষ্কার করছিল না?,ওয়ারন্ট দে ক্লিনিং
Weren't They dancing?,তারা কি নাচছিল না?,ওয়ারন্ট দে ড্যান্সিং
Weren't They stopping?,তারা কি থামছিল না?,ওয়ারন্ট দে স্টপিং
Weren't They starting?,তারা কি শুরু করছিল না?,ওয়ারন্ট দে স্টার্টিং
Weren't They finishing?,তারা কি শেষ করছিল না?,ওয়ারন্ট দে ফিনিশিং
Weren't They changing?,তারা কি পরিবর্তন করছিল না?,ওয়ারন্ট দে চেঞ্জিং
