She isn't playing,সে খেলছে না,শি ইজন্ট প্লেয়িং
She isn't running,সে দৌড়াচ্ছে না,শি ইজন্ট রানিং
She isn't eating,সে খাচ্ছে না,শি ইজন্ট ইটিং
She isn't doing,সে করছে না,শি ইজন্ট ডুইং
She isn't walking,সে হাঁটছে না,শি ইজন্ট ওয়াকিং
She isn't going,সে যাচ্ছে না,শি ইজন্ট গোইং
She isn't coming,সে আসছে না,শি ইজন্ট কামিং
She isn't reading,সে পড়ছে না,শি ইজন্ট রিডিং
She isn't writing,সে লিখছে না,শি ইজন্ট রাইটিং
She isn't working,সে কাজ করছে না,শি ইজন্ট ওয়ার্কিং
She isn't sleeping,সে ঘুমাচ্ছে না,শি ইজন্ট স্লিপিং
She isn't drinking,সে পান করছে না,শি ইজন্ট ড্রিঙ্কিং
She isn't sitting,সে বসছে না,শি ইজন্ট সিটিং
She isn't standing,সে দাঁড়াচ্ছে না,শি ইজন্ট স্ট্যান্ডিং
She isn't listening,সে শুনছে না,শি ইজন্ট লিসেনিং
She isn't looking,সে তাকাচ্ছে না,শি ইজন্ট লুকিং
She isn't loving,সে ভালোবাসছে না,শি ইজন্ট লাভিং
She isn't wanting,সে চাইছে না,শি ইজন্ট ওয়ান্টিং
She isn't thinking,সে ভাবছে না,শি ইজন্ট থিংকিং
She isn't knowing,সে জানছে না,শি ইজন্ট নোইং
She isn't learning,সে শিখছে না,শি ইজন্ট লার্নিং
She isn't cooking,সে রান্না করছে না,শি ইজন্ট কুকিং
She isn't speaking,সে কথা বলছে না,শি ইজন্ট স্পিকিং
She isn't talking,সে কথা বলছে না,শি ইজন্ট টকিং
She isn't opening,সে খুলছে না,শি ইজন্ট ওপেনিং
She isn't closing,সে বন্ধ করছে না,শি ইজন্ট ক্লোজিং
She isn't waiting,সে অপেক্ষা করছে না,শি ইজন্ট ওয়েটিং
She isn't trying,সে চেষ্টা করছে না,শি ইজন্ট ট্রাইং
She isn't living,সে বাস করছে না,শি ইজন্ট লিভিং
She isn't helping,সে সাহায্য করছে না,শি ইজন্ট হেল্পিং
She isn't calling,সে ডাকছে না,শি ইজন্ট কলিং
She isn't asking,সে জিজ্ঞাসা করছে না,শি ইজন্ট আস্কিং
She isn't taking,সে নিচ্ছে না,শি ইজন্ট টেকিং
She isn't giving,সে দিচ্ছে না,শি ইজন্ট গিভিং
She isn't seeing,সে দেখছে না,শি ইজন্ট সিইং
She isn't hearing,সে শুনছে না,শি ইজন্ট হিয়ারিং
She isn't feeling,সে অনুভব করছে না,শি ইজন্ট ফিলিং
She isn't understanding,সে বুঝছে না,শি ইজন্ট আন্ডারস্ট্যান্ডিং
She isn't singing,সে গান করছে না,শি ইজন্ট সিংইং
