He won't be playing,সে খেলতে থাকব না,হি ওয়োন্ট বি প্লেয়িং
He won't be running,সে দৌড়াইতে থাকব না,হি ওয়োন্ট বি রানিং
He won't be eating,সে খাইতে থাকব না,হি ওয়োন্ট বি ইটিং
He won't be doing,সে করতে থাকব না,হি ওয়োন্ট বি ডুইং
He won't be walking,সে হাঁটতে থাকব না,হি ওয়োন্ট বি ওয়াকিং
He won't be going,সে যাইতে থাকব না,হি ওয়োন্ট বি গোইং
He won't be coming,সে আসতে থাকব না,হি ওয়োন্ট বি কামিং
He won't be reading,সে পড়তে থাকব না,হি ওয়োন্ট বি রিডিং
He won't be writing,সে লিখতে থাকব না,হি ওয়োন্ট বি রাইটিং
He won't be working,সে কাজ করতে থাকব না,হি ওয়োন্ট বি ওয়ার্কিং
He won't be sleeping,সে ঘুমাইতে থাকব না,হি ওয়োন্ট বি স্লিপিং
He won't be drinking,সে পান করতে থাকব না,হি ওয়োন্ট বি ড্রিঙ্কিং
He won't be sitting,সে বসতে থাকব না,হি ওয়োন্ট বি সিটিং
He won't be standing,সে দাঁড়াইতে থাকব না,হি ওয়োন্ট বি স্ট্যান্ডিং
He won't be listening,সে শুনতে থাকব না,হি ওয়োন্ট বি লিসেনিং
He won't be looking,সে তাকাইতে থাকব না,হি ওয়োন্ট বি লুকিং
He won't be loving,সে ভালোবাসতে থাকব না,হি ওয়োন্ট বি লাভিং
He won't be wanting,সে চাইতে থাকব না,হি ওয়োন্ট বি ওয়ান্টিং
He won't be thinking,সে ভাবতে থাকব না,হি ওয়োন্ট বি থিংকিং
He won't be knowing,সে জানতে থাকব না,হি ওয়োন্ট বি নোইং
He won't be learning,সে শিখতে থাকব না,হি ওয়োন্ট বি লার্নিং
He won't be cooking,সে রান্না করতে থাকব না,হি ওয়োন্ট বি কুকিং
He won't be speaking,সে কথা বলতে থাকব না,হি ওয়োন্ট বি স্পিকিং
He won't be talking,সে কথা বলতে থাকব না,হি ওয়োন্ট বি টকিং
He won't be opening,সে খুলতে থাকব না,হি ওয়োন্ট বি ওপেনিং
He won't be closing,সে বন্ধ করতে থাকব না,হি ওয়োন্ট বি ক্লোজিং
He won't be waiting,সে অপেক্ষা করতে থাকব না,হি ওয়োন্ট বি ওয়েটিং
He won't be trying,সে চেষ্টা করতে থাকব না,হি ওয়োন্ট বি ট্রাইং
He won't be living,সে বাস করতে থাকব না,হি ওয়োন্ট বি লিভিং
He won't be helping,সে সাহায্য করতে থাকব না,হি ওয়োন্ট বি হেল্পিং
He won't be calling,সে ডাকতে থাকব না,হি ওয়োন্ট বি কলিং
He won't be asking,সে জিজ্ঞাসা করতে থাকব না,হি ওয়োন্ট বি আস্কিং
He won't be taking,সে নিইতে থাকব না,হি ওয়োন্ট বি টেকিং
He won't be giving,সে দিইতে থাকব না,হি ওয়োন্ট বি গিভিং
He won't be seeing,সে দেখতে থাকব না,হি ওয়োন্ট বি সিইং
He won't be hearing,সে শুনতে থাকব না,হি ওয়োন্ট বি হিয়ারিং
He won't be feeling,সে অনুভব করতে থাকব না,হি ওয়োন্ট বি ফিলিং
He won't be understanding,সে বুঝতে থাকব না,হি ওয়োন্ট বি আন্ডারস্ট্যান্ডিং
He won't be singing,সে গান করতে থাকব না,হি ওয়োন্ট বি সিংইং
He won't be swimming,সে সাঁতার কাটতে থাকব না,হি ওয়োন্ট বি সুইমিং
He won't be driving,সে গাড়ি চালাইতে থাকব না,হি ওয়োন্ট বি ড্রাইভিং
He won't be studying,সে পড়াশোনা করতে থাকব না,হি ওয়োন্ট বি স্টাডিইং
He won't be washing,সে ধুইতে থাকব না,হি ওয়োন্ট বি ওয়াশিং
He won't be watching,সে দেখতে থাকব না,হি ওয়োন্ট বি ওয়াচিং
He won't be buying,সে কিনতে থাকব না,হি ওয়োন্ট বি বাইইং
He won't be selling,সে বিক্রি করতে থাকব না,হি ওয়োন্ট বি সেলিং
He won't be making,সে তৈরি করতে থাকব না,হি ওয়োন্ট বি মেকিং
He won't be cleaning,সে পরিষ্কার করতে থাকব না,হি ওয়োন্ট বি ক্লিনিং
He won't be dancing,সে নাচতে থাকব না,হি ওয়োন্ট বি ড্যান্সিং
He won't be stopping,সে থামতে থাকব না,হি ওয়োন্ট বি স্টপিং
He won't be starting,সে শুরু করতে থাকব না,হি ওয়োন্ট বি স্টার্টিং
He won't be finishing,সে শেষ করতে থাকব না,হি ওয়োন্ট বি ফিনিশিং
He won't be changing,সে পরিবর্তন করতে থাকব না,হি ওয়োন্ট বি চেঞ্জিং
He won't be paying,সে পরিশোধ করতে থাকব না,হি ওয়োন্ট বি পেয়িং
He won't be using,সে ব্যবহার করতে থাকব না,হি ওয়োন্ট বি ইউজিং
He won't be showing,সে দেখাইতে থাকব না,হি ওয়োন্ট বি শোইং
He won't be telling,সে বলতে থাকব না,হি ওয়োন্ট বি টেলিং
He won't be leaving,সে ছেড়ে যাইতে থাকব না,হি ওয়োন্ট বি লিভিং
He won't be bringing,সে আনতে থাকব না,হি ওয়োন্ট বি ব্রিংইং
He won't be keeping,সে রাখতে থাকব না,হি ওয়োন্ট বি কিপিং
He won't be putting,সে রাখতে থাকব না,হি ওয়োন্ট বি পুটিং
He won't be finding,সে খুঁজে পাইতে থাকব না,হি ওয়োন্ট বি ফাইন্ডিং
He won't be forgetting,সে ভুলে যাইতে থাকব না,হি ওয়োন্ট বি ফরগেটিং
He won't be remembering,সে মনে রাখতে থাকব না,হি ওয়োন্ট বি রিমেম্বারিং
He won't be needing,সে প্রয়োজন নেইতে থাকবে,হি ওয়োন্ট বি নিডিং
He won't be believing,সে বিশ্বাস করতে থাকব না,হি ওয়োন্ট বি বিলিভিং
He won't be agreeing,সে রাজি নইতে থাকবে,হি ওয়োন্ট বি অ্যাগ্রিইং
He won't be answering,সে উত্তর দেইতে থাকব না,হি ওয়োন্ট বি আন্সারিং
He won't be breaking,সে ভাঙতে থাকব না,হি ওয়োন্ট বি ব্রেকিং
He won't be building,সে নির্মাণ করতে থাকব না,হি ওয়োন্ট বি বিল্ডিং
He won't be choosing,সে পছন্দ করতে থাকব না,হি ওয়োন্ট বি চুজিং
He won't be cutting,সে কাটতে থাকব না,হি ওয়োন্ট বি কাটিং
He won't be deciding,সে সিদ্ধান্ত নিইতে থাকব না,হি ওয়োন্ট বি ডিসাইডিং
He won't be explaining,সে ব্যাখ্যা করতে থাকব না,হি ওয়োন্ট বি এক্সপ্লেইনিং
He won't be falling,সে পড়ে যাইতে থাকব না,হি ওয়োন্ট বি ফলিং
He won't be getting,সে পাইতে থাকব না,হি ওয়োন্ট বি গেটিং
He won't be growing,সে বড় হইতে থাকব না,হি ওয়োন্ট বি গ্রোইং
He won't be hoping,সে আশা করতে থাকব না,হি ওয়োন্ট বি হোপিং
He won't be joining,সে যোগ দিইতে থাকব না,হি ওয়োন্ট বি জয়েনিং
He won't be meeting,সে সাক্ষাৎ করতে থাকব না,হি ওয়োন্ট বি মিটিং
He won't be sending,সে পাঠাইতে থাকব না,হি ওয়োন্ট বি সেন্ডিং
He won't be spending,সে ব্যয় করতে থাকব না,হি ওয়োন্ট বি স্পেন্ডিং
He won't be teaching,সে শেখাইতে থাকব না,হি ওয়োন্ট বি টিচিং
He won't be winning,সে জয়ী হইতে থাকব না,হি ওয়োন্ট বি উইনিং
