Wasn't I playing?,আমি কি খেলছিলাম না?,ওয়াজন্ট আই প্লেয়িং
Wasn't I running?,আমি কি দৌড়াচ্ছিলাম না?,ওয়াজন্ট আই রানিং
Wasn't I eating?,আমি কি খাচ্ছিলাম না?,ওয়াজন্ট আই ইটিং
Wasn't I doing?,আমি কি করছিলাম না?,ওয়াজন্ট আই ডুইং
Wasn't I walking?,আমি কি হাঁটছিলাম না?,ওয়াজন্ট আই ওয়াকিং
Wasn't I going?,আমি কি যাচ্ছিলাম না?,ওয়াজন্ট আই গোইং
Wasn't I coming?,আমি কি আসছিলাম না?,ওয়াজন্ট আই কামিং
Wasn't I reading?,আমি কি পড়ছিলাম না?,ওয়াজন্ট আই রিডিং
Wasn't I writing?,আমি কি লিখছিলাম না?,ওয়াজন্ট আই রাইটিং
Wasn't I working?,আমি কি কাজ করছিলাম না?,ওয়াজন্ট আই ওয়ার্কিং
Wasn't I sleeping?,আমি কি ঘুমাচ্ছিলাম না?,ওয়াজন্ট আই স্লিপিং
Wasn't I drinking?,আমি কি পান করছিলাম না?,ওয়াজন্ট আই ড্রিঙ্কিং
Wasn't I sitting?,আমি কি বসছিলাম না?,ওয়াজন্ট আই সিটিং
Wasn't I standing?,আমি কি দাঁড়াচ্ছিলাম না?,ওয়াজন্ট আই স্ট্যান্ডিং
Wasn't I listening?,আমি কি শুনছিলাম না?,ওয়াজন্ট আই লিসেনিং
Wasn't I looking?,আমি কি তাকাচ্ছিলাম না?,ওয়াজন্ট আই লুকিং
Wasn't I loving?,আমি কি ভালোবাসছিলাম না?,ওয়াজন্ট আই লাভিং
Wasn't I wanting?,আমি কি চাইছিলাম না?,ওয়াজন্ট আই ওয়ান্টিং
Wasn't I thinking?,আমি কি ভাবছিলাম না?,ওয়াজন্ট আই থিংকিং
Wasn't I knowing?,আমি কি জানছিলাম না?,ওয়াজন্ট আই নোইং
Wasn't I learning?,আমি কি শিখছিলাম না?,ওয়াজন্ট আই লার্নিং
Wasn't I cooking?,আমি কি রান্না করছিলাম না?,ওয়াজন্ট আই কুকিং
Wasn't I speaking?,আমি কি কথা বলছিলাম না?,ওয়াজন্ট আই স্পিকিং
Wasn't I talking?,আমি কি কথা বলছিলাম না?,ওয়াজন্ট আই টকিং
Wasn't I opening?,আমি কি খুলছিলাম না?,ওয়াজন্ট আই ওপেনিং
Wasn't I closing?,আমি কি বন্ধ করছিলাম না?,ওয়াজন্ট আই ক্লোজিং
Wasn't I waiting?,আমি কি অপেক্ষা করছিলাম না?,ওয়াজন্ট আই ওয়েটিং
Wasn't I trying?,আমি কি চেষ্টা করছিলাম না?,ওয়াজন্ট আই ট্রাইং
Wasn't I living?,আমি কি বাস করছিলাম না?,ওয়াজন্ট আই লিভিং
Wasn't I helping?,আমি কি সাহায্য করছিলাম না?,ওয়াজন্ট আই হেল্পিং
Wasn't I calling?,আমি কি ডাকছিলাম না?,ওয়াজন্ট আই কলিং
Wasn't I asking?,আমি কি জিজ্ঞাসা করছিলাম না?,ওয়াজন্ট আই আস্কিং
Wasn't I taking?,আমি কি নিচ্ছিলাম না?,ওয়াজন্ট আই টেকিং
Wasn't I giving?,আমি কি দিচ্ছিলাম না?,ওয়াজন্ট আই গিভিং
Wasn't I seeing?,আমি কি দেখছিলাম না?,ওয়াজন্ট আই সিইং
Wasn't I hearing?,আমি কি শুনছিলাম না?,ওয়াজন্ট আই হিয়ারিং
Wasn't I feeling?,আমি কি অনুভব করছিলাম না?,ওয়াজন্ট আই ফিলিং
Wasn't I understanding?,আমি কি বুঝছিলাম না?,ওয়াজন্ট আই আন্ডারস্ট্যান্ডিং
Wasn't I singing?,আমি কি গান করছিলাম না?,ওয়াজন্ট আই সিংইং
Wasn't I swimming?,আমি কি সাঁতার কাটছিলাম না?,ওয়াজন্ট আই সুইমিং
Wasn't I driving?,আমি কি গাড়ি চালাচ্ছিলাম না?,ওয়াজন্ট আই ড্রাইভিং
Wasn't I studying?,আমি কি পড়াশোনা করছিলাম না?,ওয়াজন্ট আই স্টাডিইং
Wasn't I washing?,আমি কি ধুছিলাম না?,ওয়াজন্ট আই ওয়াশিং
Wasn't I watching?,আমি কি দেখছিলাম না?,ওয়াজন্ট আই ওয়াচিং
