Wasn't He playing?,সে কি খেলছিল না?,ওয়াজন্ট হি প্লেয়িং
Wasn't He running?,সে কি দৌড়াচ্ছিল না?,ওয়াজন্ট হি রানিং
Wasn't He eating?,সে কি খাচ্ছিল না?,ওয়াজন্ট হি ইটিং
Wasn't He doing?,সে কি করছিল না?,ওয়াজন্ট হি ডুইং
Wasn't He walking?,সে কি হাঁটছিল না?,ওয়াজন্ট হি ওয়াকিং
Wasn't He going?,সে কি যাচ্ছিল না?,ওয়াজন্ট হি গোইং
Wasn't He coming?,সে কি আসছিল না?,ওয়াজন্ট হি কামিং
Wasn't He reading?,সে কি পড়ছিল না?,ওয়াজন্ট হি রিডিং
Wasn't He writing?,সে কি লিখছিল না?,ওয়াজন্ট হি রাইটিং
Wasn't He working?,সে কি কাজ করছিল না?,ওয়াজন্ট হি ওয়ার্কিং
Wasn't He sleeping?,সে কি ঘুমাচ্ছিল না?,ওয়াজন্ট হি স্লিপিং
Wasn't He drinking?,সে কি পান করছিল না?,ওয়াজন্ট হি ড্রিঙ্কিং
Wasn't He sitting?,সে কি বসছিল না?,ওয়াজন্ট হি সিটিং
Wasn't He standing?,সে কি দাঁড়াচ্ছিল না?,ওয়াজন্ট হি স্ট্যান্ডিং
Wasn't He listening?,সে কি শুনছিল না?,ওয়াজন্ট হি লিসেনিং
Wasn't He looking?,সে কি তাকাচ্ছিল না?,ওয়াজন্ট হি লুকিং
Wasn't He loving?,সে কি ভালোবাসছিল না?,ওয়াজন্ট হি লাভিং
Wasn't He wanting?,সে কি চাইছিল না?,ওয়াজন্ট হি ওয়ান্টিং
Wasn't He thinking?,সে কি ভাবছিল না?,ওয়াজন্ট হি থিংকিং
Wasn't He knowing?,সে কি জানছিল না?,ওয়াজন্ট হি নোইং
Wasn't He learning?,সে কি শিখছিল না?,ওয়াজন্ট হি লার্নিং
Wasn't He cooking?,সে কি রান্না করছিল না?,ওয়াজন্ট হি কুকিং
Wasn't He speaking?,সে কি কথা বলছিল না?,ওয়াজন্ট হি স্পিকিং
Wasn't He talking?,সে কি কথা বলছিল না?,ওয়াজন্ট হি টকিং
Wasn't He opening?,সে কি খুলছিল না?,ওয়াজন্ট হি ওপেনিং
Wasn't He closing?,সে কি বন্ধ করছিল না?,ওয়াজন্ট হি ক্লোজিং
Wasn't He waiting?,সে কি অপেক্ষা করছিল না?,ওয়াজন্ট হি ওয়েটিং
Wasn't He trying?,সে কি চেষ্টা করছিল না?,ওয়াজন্ট হি ট্রাইং
Wasn't He living?,সে কি বাস করছিল না?,ওয়াজন্ট হি লিভিং
Wasn't He helping?,সে কি সাহায্য করছিল না?,ওয়াজন্ট হি হেল্পিং
Wasn't He calling?,সে কি ডাকছিল না?,ওয়াজন্ট হি কলিং
Wasn't He asking?,সে কি জিজ্ঞাসা করছিল না?,ওয়াজন্ট হি আস্কিং
Wasn't He taking?,সে কি নিচ্ছিল না?,ওয়াজন্ট হি টেকিং
Wasn't He giving?,সে কি দিচ্ছিল না?,ওয়াজন্ট হি গিভিং
Wasn't He seeing?,সে কি দেখছিল না?,ওয়াজন্ট হি সিইং
Wasn't He hearing?,সে কি শুনছিল না?,ওয়াজন্ট হি হিয়ারিং
Wasn't He feeling?,সে কি অনুভব করছিল না?,ওয়াজন্ট হি ফিলিং
Wasn't He understanding?,সে কি বুঝছিল না?,ওয়াজন্ট হি আন্ডারস্ট্যান্ডিং
Wasn't He singing?,সে কি গান করছিল না?,ওয়াজন্ট হি সিংইং
Wasn't He swimming?,সে কি সাঁতার কাটছিল না?,ওয়াজন্ট হি সুইমিং
Wasn't He driving?,সে কি গাড়ি চালাচ্ছিল না?,ওয়াজন্ট হি ড্রাইভিং
Wasn't He studying?,সে কি পড়াশোনা করছিল না?,ওয়াজন্ট হি স্টাডিইং
Wasn't He washing?,সে কি ধুছিল না?,ওয়াজন্ট হি ওয়াশিং
Wasn't He watching?,সে কি দেখছিল না?,ওয়াজন্ট হি ওয়াচিং
Wasn't He buying?,সে কি কিনছিল না?,ওয়াজন্ট হি বাইইং
Wasn't He selling?,সে কি বিক্রি করছিল না?,ওয়াজন্ট হি সেলিং
Wasn't He making?,সে কি তৈরি করছিল না?,ওয়াজন্ট হি মেকিং
Wasn't He cleaning?,সে কি পরিষ্কার করছিল না?,ওয়াজন্ট হি ক্লিনিং
Wasn't He dancing?,সে কি নাচছিল না?,ওয়াজন্ট হি ড্যান্সিং
Wasn't He stopping?,সে কি থামছিল না?,ওয়াজন্ট হি স্টপিং
Wasn't He starting?,সে কি শুরু করছিল না?,ওয়াজন্ট হি স্টার্টিং
Wasn't He finishing?,সে কি শেষ করছিল না?,ওয়াজন্ট হি ফিনিশিং
Wasn't He changing?,সে কি পরিবর্তন করছিল না?,ওয়াজন্ট হি চেঞ্জিং
Wasn't He paying?,সে কি পরিশোধ করছিল না?,ওয়াজন্ট হি পেয়িং
Wasn't He using?,সে কি ব্যবহার করছিল না?,ওয়াজন্ট হি ইউজিং
Wasn't He showing?,সে কি দেখাচ্ছিল না?,ওয়াজন্ট হি শোইং
Wasn't He telling?,সে কি বলছিল না?,ওয়াজন্ট হি টেলিং
Wasn't He leaving?,সে কি ছেড়ে যাচ্ছিল না?,ওয়াজন্ট হি লিভিং
Wasn't He bringing?,সে কি আনছিল না?,ওয়াজন্ট হি ব্রিংইং
Wasn't He keeping?,সে কি রাখছিল না?,ওয়াজন্ট হি কিপিং
Wasn't He putting?,সে কি রাখছিল না?,ওয়াজন্ট হি পুটিং
Wasn't He finding?,সে কি খুঁজে পাচ্ছিল না?,ওয়াজন্ট হি ফাইন্ডিং
Wasn't He forgetting?,সে কি ভুলে যাচ্ছিল না?,ওয়াজন্ট হি ফরগেটিং
Wasn't He remembering?,সে কি মনে রাখছিল না?,ওয়াজন্ট হি রিমেম্বারিং
Wasn't He needing?,আমার কি প্রয়োজন হচ্ছিল না?,ওয়াজন্ট হি নিডিং
