a, Determiner, একটি, আ
about, Adverb | Preposition, সম্পর্কে, অ্যাবাউট
above, Adverb | Preposition, উপরে, অ্যাবোভ
accept, Action Verb, গ্রহণ করা, একসেপ্ট
accepted, Action Verb (Past), গৃহীত, একসেপ্টেড
accidentally, Adverb, দুর্ঘটনাবশত, এক্সিডেন্টালি
across, Adverb | Preposition, আড়াআড়িভাবে, অ্যাক্রস
action, Noun, কাজ, অ্যাকশন
add, Action Verb, যোগ করা, অ্যাড
added, Action Verb (Past), যোগ করা হয়েছে এমন, অ্যাডেড
advise, Action Verb, উপদেশ দেওয়া, অ্যাডভাইস
advised, Action Verb (Past), উপদেশ দিয়েছিল, অ্যাডভাইসড
after, Preposition | Conjunction, পরে, আফটার
again, Adverb, আবার, এগেইন
agree, Action Verb, একমত হওয়া, এগ্রি
agreed, Action Verb (Past), একমত হয়েছিল, এগ্রিড
agreeing, Action Verb (Present Participle), একমত হচ্ছে এমন, এগ্রিইং
ah, Interjection, আঃ, আ
ahead, Adverb, সামনে, এহেড
air, Noun, বাতাস, এয়ার
aisle, Noun, সারির মধ্যবর্তী পথ, আইল
alive, Adjective, জীবিত, অ্যালাইভ
all, Determiner | Pronoun, সব, অল
allow, Action Verb, অনুমতি দেওয়া, অ্যালাউ
allowed, Action Verb (Past), অনুমতিপ্রাপ্ত, অ্যালাউড
already, Adverb, ইতিমধ্যে, অলরেডি
also, Adverb, আরও, অলসো
always, Adverb, সবসময়, অলওয়েজ
am, Be Verb | Helping Verb, হই, অ্যাম
an, Determiner, একটি, অ্যান
and, Conjunction, এবং, অ্যান্ড
angry, Adjective, রাগান্বিত, অ্যাংরি
answer, Noun | Action Verb, উত্তর, অ্যানসার
answered, Action Verb (Past), উত্তর দিয়েছিল, অ্যানসারড
answering, Action Verb (Present Participle), উত্তর দিচ্ছে এমন, অ্যানসারিং
anything, Pronoun, যেকোনো কিছু, এনিথিং
app, Noun, অ্যাপ, অ্যাপ
are, Be Verb | Helping Verb, হয় / হও, আর
aren't, Be Verb (Contraction), নয়, আরেন্ট
arise, Action Verb, জেগে ওঠা, অ্যারাইজ
arisen, Action Verb (Past Participle), জেগে উঠেছে এমন, অ্যারাইজেন
arose, Action Verb (Past), জেগে উঠেছিল, অ্যারোজ
arrive, Action Verb, পৌঁছানো, অ্যারাইভ
arrived, Action Verb (Past), পৌঁছেছিল, অ্যারাইভড
artificial, Adjective, কৃত্রিম, আর্টিফিশিয়াল
as, Adverb | Conjunction, মতো / যেহেতু, অ্যাজ
aside, Adverb, পাশে, এসাইড
ask, Action Verb, জিজ্ঞাসা করা, আস্ক
asked, Action Verb (Past), জিজ্ঞাসা করেছিল, আস্কড
asking, Action Verb (Present Participle), জিজ্ঞাসা করছে এমন, আস্কিং
asks, Action Verb (Third Person), জিজ্ঞাসা করে, আস্কস
aspirated, Adjective, মহাপ্রাণ, অ্যাসপিরেটেড
at, Preposition, দিকে / তে, অ্যাট
ate, Action Verb (Past), খেয়েছিল, এট
automatically, Adverb, স্বয়ংক্রিয়ভাবে, অটোমেটিক্যালি
avoid, Action Verb, এড়িয়ে চলা, এভয়েড
awake, Adjective | Action Verb, জাগ্রত, অ্যাওয়েক
away, Adverb, দূরে, অ্যাওয়ে
awoke, Action Verb (Past), জেগেছিল, অ্যাওোক
awoken, Action Verb (Past Participle), জেগে উঠেছে এমন, অ্যাওোকেন
back, Noun | Adverb | Action Verb, পিছনে, ব্যাক
bad, Adjective, খারাপ, ব্যাড
badminton, Noun, ব্যাডমিন্টন, ব্যাডমিন্টন
bag, Noun, থলে, ব্যাগ
ball, Noun, বল, বল
bank, Noun, ব্যাংক / তট, ব্যাংক
basically, Adverb, মূলত, বেসিক্যালি
bathroom, Noun, গোসলখানা, বাথরুম
be, Be Verb | Helping Verb, হওয়া, বি
bear, Noun | Action Verb, ভাল্লুক / সহ্য করা, বিয়ার
beat, Action Verb | Noun, প্রহার করা / তাল, বিট
beaten, Action Verb (Past Participle), প্রহৃত / পরাজিত, বিটেন
beautiful, Adjective, সুন্দর, বিউটিফুল
beautifully, Adverb, সুন্দরভাবে, বিউটিফুলি
became, Linking Verb (Past), হয়েছিল, বিকেম
because, Conjunction, কারণ, বিকজ
become, Linking Verb, হওয়া, বিকাম
bed, Noun, বিছানা, বেড
bee, Noun, মৌমাছি, বি
been, Be Verb (Past)
bicycle, Noun, বাইসাইকেল, বাইসাইকেল
big, Adjective, বড়, বিগ
bike, Noun, বাইক, বাইক
bill, Noun | Action Verb, বিল বা হিসাব, বিল
biography, Noun, জীবনী, বায়োগ্রাফি
biology, Noun, জীববিজ্ঞান, বায়োলজি
bird, Noun, পাখি, বার্ড
birds, Noun (Plural), পাখিগুলো, বার্ডস
birthday, Noun, জন্মদিন, বার্থডে
biryani, Noun, বিরিয়ানি, বিরিয়ানি
bit, Noun | Action Verb (Past), অল্প বা কামড়েছিল, বিট
bite, Action Verb | Noun, কামড় দেওয়া, বাইট
bitten, Action Verb (Past Participle), কামড় দিয়েছে এমন, বিটেন
blackboard, Noun, ব্ল্যাকবোর্ড, ব্ল্যাকবোর্ড
bled, Action Verb (Past), রক্তক্ষরণ হয়েছিল, ব্লেড
bleed, Action Verb, রক্তক্ষরণ হওয়া, ব্লিড
