She will be playing,সে খেলতে থাকবে,শি উইল বি প্লেয়িং
She will be running,সে দৌড়াইতে থাকবে,শি উইল বি রানিং
She will be eating,সে খাইতে থাকবে,শি উইল বি ইটিং
She will be doing,সে করতে থাকবে,শি উইল বি ডুইং
She will be walking,সে হাঁটতে থাকবে,শি উইল বি ওয়াকিং
She will be going,সে যাইতে থাকবে,শি উইল বি গোইং
She will be coming,সে আসতে থাকবে,শি উইল বি কামিং
She will be reading,সে পড়তে থাকবে,শি উইল বি রিডিং
She will be writing,সে লিখতে থাকবে,শি উইল বি রাইটিং
She will be working,সে কাজ করতে থাকবে,শি উইল বি ওয়ার্কিং
She will be sleeping,সে ঘুমাইতে থাকবে,শি উইল বি স্লিপিং
She will be drinking,সে পান করতে থাকবে,শি উইল বি ড্রিঙ্কিং
She will be sitting,সে বসতে থাকবে,শি উইল বি সিটিং
She will be standing,সে দাঁড়াইতে থাকবে,শি উইল বি স্ট্যান্ডিং
She will be listening,সে শুনতে থাকবে,শি উইল বি লিসেনিং
She will be looking,সে তাকাইতে থাকবে,শি উইল বি লুকিং
She will be loving,সে ভালোবাসতে থাকবে,শি উইল বি লাভিং
She will be wanting,সে চাইতে থাকবে,শি উইল বি ওয়ান্টিং
She will be thinking,সে ভাবতে থাকবে,শি উইল বি থিংকিং
She will be knowing,সে জানতে থাকবে,শি উইল বি নোইং
She will be learning,সে শিখতে থাকবে,শি উইল বি লার্নিং
She will be cooking,সে রান্না করতে থাকবে,শি উইল বি কুকিং
She will be speaking,সে কথা বলতে থাকবে,শি উইল বি স্পিকিং
She will be talking,সে কথা বলতে থাকবে,শি উইল বি টকিং
She will be opening,সে খুলতে থাকবে,শি উইল বি ওপেনিং
She will be closing,সে বন্ধ করতে থাকবে,শি উইল বি ক্লোজিং
She will be waiting,সে অপেক্ষা করতে থাকবে,শি উইল বি ওয়েটিং
She will be trying,সে চেষ্টা করতে থাকবে,শি উইল বি ট্রাইং
She will be living,সে বাস করতে থাকবে,শি উইল বি লিভিং
She will be helping,সে সাহায্য করতে থাকবে,শি উইল বি হেল্পিং
She will be calling,সে ডাকতে থাকবে,শি উইল বি কলিং
She will be asking,সে জিজ্ঞাসা করতে থাকবে,শি উইল বি আস্কিং
