Aren't We playing?,আমরা কি খেলছি না?,আরন্ট উই প্লেয়িং
Aren't We running?,আমরা কি দৌড়াচ্ছি না?,আরন্ট উই রানিং
Aren't We eating?,আমরা কি খাচ্ছি না?,আরন্ট উই ইটিং
Aren't We doing?,আমরা কি করছি না?,আরন্ট উই ডুইং
Aren't We walking?,আমরা কি হাঁটছি না?,আরন্ট উই ওয়াকিং
Aren't We going?,আমরা কি যাচ্ছি না?,আরন্ট উই গোইং
Aren't We coming?,আমরা কি আসছি না?,আরন্ট উই কামিং
Aren't We reading?,আমরা কি পড়ছি না?,আরন্ট উই রিডিং
Aren't We writing?,আমরা কি লিখছি না?,আরন্ট উই রাইটিং
Aren't We working?,আমরা কি কাজ করছি না?,আরন্ট উই ওয়ার্কিং
Aren't We sleeping?,আমরা কি ঘুমাচ্ছি না?,আরন্ট উই স্লিপিং
Aren't We drinking?,আমরা কি পান করছি না?,আরন্ট উই ড্রিঙ্কিং
Aren't We sitting?,আমরা কি বসছি না?,আরন্ট উই সিটিং
Aren't We standing?,আমরা কি দাঁড়াচ্ছি না?,আরন্ট উই স্ট্যান্ডিং
Aren't We listening?,আমরা কি শুনছি না?,আরন্ট উই লিসেনিং
Aren't We looking?,আমরা কি তাকাচ্ছি না?,আরন্ট উই লুকিং
Aren't We loving?,আমরা কি ভালোবাসছি না?,আরন্ট উই লাভিং
Aren't We wanting?,আমরা কি চাইছি না?,আরন্ট উই ওয়ান্টিং
Aren't We thinking?,আমরা কি ভাবছি না?,আরন্ট উই থিংকিং
Aren't We knowing?,আমরা কি জানছি না?,আরন্ট উই নোইং
Aren't We learning?,আমরা কি শিখছি না?,আরন্ট উই লার্নিং
Aren't We cooking?,আমরা কি রান্না করছি না?,আরন্ট উই কুকিং
Aren't We speaking?,আমরা কি কথা বলছি না?,আরন্ট উই স্পিকিং
Aren't We talking?,আমরা কি কথা বলছি না?,আরন্ট উই টকিং
Aren't We opening?,আমরা কি খুলছি না?,আরন্ট উই ওপেনিং
Aren't We closing?,আমরা কি বন্ধ করছি না?,আরন্ট উই ক্লোজিং
Aren't We waiting?,আমরা কি অপেক্ষা করছি না?,আরন্ট উই ওয়েটিং
Aren't We trying?,আমরা কি চেষ্টা করছি না?,আরন্ট উই ট্রাইং
Aren't We living?,আমরা কি বাস করছি না?,আরন্ট উই লিভিং
Aren't We helping?,আমরা কি সাহায্য করছি না?,আরন্ট উই হেল্পিং
Aren't We calling?,আমরা কি ডাকছি না?,আরন্ট উই কলিং
Aren't We asking?,আমরা কি জিজ্ঞাসা করছি না?,আরন্ট উই আস্কিং
Aren't We taking?,আমরা কি নিচ্ছি না?,আরন্ট উই টেকিং
Aren't We giving?,আমরা কি দিচ্ছি না?,আরন্ট উই গিভিং
Aren't We seeing?,আমরা কি দেখছি না?,আরন্ট উই সিইং
Aren't We hearing?,আমরা কি শুনছি না?,আরন্ট উই হিয়ারিং
Aren't We feeling?,আমরা কি অনুভব করছি না?,আরন্ট উই ফিলিং
Aren't We understanding?,আমরা কি বুঝছি না?,আরন্ট উই আন্ডারস্ট্যান্ডিং
Aren't We singing?,আমরা কি গান করছি না?,আরন্ট উই সিংইং
Aren't We swimming?,আমরা কি সাঁতার কাটছি না?,আরন্ট উই সুইমিং
Aren't We driving?,আমরা কি গাড়ি চালাচ্ছি না?,আরন্ট উই ড্রাইভিং
Aren't We studying?,আমরা কি পড়াশোনা করছি না?,আরন্ট উই স্টাডিইং
Aren't We washing?,আমরা কি ধুছি না?,আরন্ট উই ওয়াশিং
Aren't We watching?,আমরা কি দেখছি না?,আরন্ট উই ওয়াচিং
Aren't We buying?,আমরা কি কিনছি না?,আরন্ট উই বাইইং
Aren't We selling?,আমরা কি বিক্রি করছি না?,আরন্ট উই সেলিং
Aren't We making?,আমরা কি তৈরি করছি না?,আরন্ট উই মেকিং
Aren't We cleaning?,আমরা কি পরিষ্কার করছি না?,আরন্ট উই ক্লিনিং
Aren't We dancing?,আমরা কি নাচছি না?,আরন্ট উই ড্যান্সিং
Aren't We stopping?,আমরা কি থামছি না?,আরন্ট উই স্টপিং
Aren't We starting?,আমরা কি শুরু করছি না?,আরন্ট উই স্টার্টিং
Aren't We finishing?,আমরা কি শেষ করছি না?,আরন্ট উই ফিনিশিং
Aren't We changing?,আমরা কি পরিবর্তন করছি না?,আরন্ট উই চেঞ্জিং
Aren't We paying?,আমরা কি পরিশোধ করছি না?,আরন্ট উই পেয়িং
Aren't We using?,আমরা কি ব্যবহার করছি না?,আরন্ট উই ইউজিং
Aren't We showing?,আমরা কি দেখাচ্ছি না?,আরন্ট উই শোইং
Aren't We telling?,আমরা কি বলছি না?,আরন্ট উই টেলিং
Aren't We leaving?,আমরা কি ছেড়ে যাচ্ছি না?,আরন্ট উই লিভিং
Aren't We bringing?,আমরা কি আনছি না?,আরন্ট উই ব্রিংইং
Aren't We keeping?,আমরা কি রাখছি না?,আরন্ট উই কিপিং
Aren't We putting?,আমরা কি রাখছি না?,আরন্ট উই পুটিং
Aren't We finding?,আমরা কি খুঁজে পাচ্ছি না?,আরন্ট উই ফাইন্ডিং
Aren't We forgetting?,আমরা কি ভুলে যাচ্ছি না?,আরন্ট উই ফরগেটিং
Aren't We remembering?,আমরা কি মনে রাখছি না?,আরন্ট উই রিমেম্বারিং
Aren't We needing?,আমার কি প্রয়োজন হচ্ছে না?,আরন্ট উই নিডিং
Aren't We believing?,আমরা কি বিশ্বাস করছি না?,আরন্ট উই বিলিভিং
Aren't We agreeing?,আমরা কি রাজি হচ্ছি না?,আরন্ট উই অ্যাগ্রিইং
Aren't We answering?,আমরা কি উত্তর দিচ্ছি না?,আরন্ট উই আন্সারিং
Aren't We breaking?,আমরা কি ভাঙছি না?,আরন্ট উই ব্রেকিং
Aren't We building?,আমরা কি নির্মাণ করছি না?,আরন্ট উই বিল্ডিং
Aren't We choosing?,আমরা কি পছন্দ করছি না?,আরন্ট উই চুজিং
Aren't We cutting?,আমরা কি কাটছি না?,আরন্ট উই কাটিং
Aren't We deciding?,আমরা কি সিদ্ধান্ত নিচ্ছি না?,আরন্ট উই ডিসাইডিং
Aren't We explaining?,আমরা কি ব্যাখ্যা করছি না?,আরন্ট উই এক্সপ্লেইনিং
Aren't We falling?,আমরা কি পড়ে যাচ্ছি না?,আরন্ট উই ফলিং
Aren't We getting?,আমরা কি পাচ্ছি না?,আরন্ট উই গেটিং
Aren't We growing?,আমরা কি বড় হচ্ছি না?,আরন্ট উই গ্রোইং
Aren't We hoping?,আমরা কি আশা করছি না?,আরন্ট উই হোপিং
Aren't We joining?,আমরা কি যোগ দিচ্ছি না?,আরন্ট উই জয়েনিং
Aren't We meeting?,আমরা কি সাক্ষাৎ করছি না?,আরন্ট উই মিটিং
Aren't We sending?,আমরা কি পাঠাচ্ছি না?,আরন্ট উই সেন্ডিং
Aren't We spending?,আমরা কি ব্যয় করছি না?,আরন্ট উই স্পেন্ডিং
Aren't We teaching?,আমরা কি শেখাচ্ছি না?,আরন্ট উই টিচিং
Aren't We winning?,আমরা কি জয়ী হচ্ছি না?,আরন্ট উই উইনিং
