Will We be playing?,আমরা কি খেলতে থাকব?,উইল উই বি প্লেয়িং
Will We be running?,আমরা কি দৌড়াইতে থাকব?,উইল উই বি রানিং
Will We be eating?,আমরা কি খাইতে থাকব?,উইল উই বি ইটিং
Will We be doing?,আমরা কি করতে থাকব?,উইল উই বি ডুইং
Will We be walking?,আমরা কি হাঁটতে থাকব?,উইল উই বি ওয়াকিং
Will We be going?,আমরা কি যাইতে থাকব?,উইল উই বি গোইং
Will We be coming?,আমরা কি আসতে থাকব?,উইল উই বি কামিং
Will We be reading?,আমরা কি পড়তে থাকব?,উইল উই বি রিডিং
Will We be writing?,আমরা কি লিখতে থাকব?,উইল উই বি রাইটিং
Will We be working?,আমরা কি কাজ করতে থাকব?,উইল উই বি ওয়ার্কিং
Will We be sleeping?,আমরা কি ঘুমাইতে থাকব?,উইল উই বি স্লিপিং
Will We be drinking?,আমরা কি পান করতে থাকব?,উইল উই বি ড্রিঙ্কিং
Will We be sitting?,আমরা কি বসতে থাকব?,উইল উই বি সিটিং
Will We be standing?,আমরা কি দাঁড়াইতে থাকব?,উইল উই বি স্ট্যান্ডিং
Will We be listening?,আমরা কি শুনতে থাকব?,উইল উই বি লিসেনিং
Will We be looking?,আমরা কি তাকাইতে থাকব?,উইল উই বি লুকিং
Will We be loving?,আমরা কি ভালোবাসতে থাকব?,উইল উই বি লাভিং
Will We be wanting?,আমরা কি চাইতে থাকব?,উইল উই বি ওয়ান্টিং
Will We be thinking?,আমরা কি ভাবতে থাকব?,উইল উই বি থিংকিং
Will We be knowing?,আমরা কি জানতে থাকব?,উইল উই বি নোইং
Will We be learning?,আমরা কি শিখতে থাকব?,উইল উই বি লার্নিং
Will We be cooking?,আমরা কি রান্না করতে থাকব?,উইল উই বি কুকিং
Will We be speaking?,আমরা কি কথা বলতে থাকব?,উইল উই বি স্পিকিং
Will We be talking?,আমরা কি কথা বলতে থাকব?,উইল উই বি টকিং
Will We be opening?,আমরা কি খুলতে থাকব?,উইল উই বি ওপেনিং
Will We be closing?,আমরা কি বন্ধ করতে থাকব?,উইল উই বি ক্লোজিং
Will We be waiting?,আমরা কি অপেক্ষা করতে থাকব?,উইল উই বি ওয়েটিং
Will We be trying?,আমরা কি চেষ্টা করতে থাকব?,উইল উই বি ট্রাইং
Will We be living?,আমরা কি বাস করতে থাকব?,উইল উই বি লিভিং
Will We be helping?,আমরা কি সাহায্য করতে থাকব?,উইল উই বি হেল্পিং
Will We be calling?,আমরা কি ডাকতে থাকব?,উইল উই বি কলিং
Will We be asking?,আমরা কি জিজ্ঞাসা করতে থাকব?,উইল উই বি আস্কিং
Will We be taking?,আমরা কি নিইতে থাকব?,উইল উই বি টেকিং
Will We be giving?,আমরা কি দিইতে থাকব?,উইল উই বি গিভিং
Will We be seeing?,আমরা কি দেখতে থাকব?,উইল উই বি সিইং
Will We be hearing?,আমরা কি শুনতে থাকব?,উইল উই বি হিয়ারিং
Will We be feeling?,আমরা কি অনুভব করতে থাকব?,উইল উই বি ফিলিং
