They play,তারা খেলে,দে প্লে
They run,তারা দৌড়ায়,দে রান
They eat,তারা খায়,দে ইট
They do,তারা করে,দে ডু
They walk,তারা হাঁটে,দে ওয়াক
They go,তারা যায়,দে গো
They come,তারা আসে,দে কাম
They read,তারা পড়ে,দে রিড
They write,তারা লিখে,দে রাইট
They work,তারা কাজ করে,দে ওয়ার্ক
They sleep,তারা ঘুমায়,দে স্লিপ
They drink,তারা পান করে,দে ড্রিঙ্ক
They sit,তারা বসে,দে সিট
They stand,তারা দাঁড়ায়,দে স্ট্যান্ড
They listen,তারা শোনে,দে লিসেন
They look,তারা তাকায়,দে লুক
They love,তারা ভালোবাসে,দে লাভ
They want,তারা চায়,দে ওয়ান্ট
They think,তারা ভাবে,দে থিংক
They know,তারা জানে,দে নো
They learn,তারা শেখে,দে লার্ন
They cook,তারা রান্না করে,দে কুক
They speak,তারা কথা বলে,দে স্পিক
They talk,তারা কথা বলে,দে টক
They open,তারা খোলে,দে ওপেন
They close,তারা বন্ধ করে,দে ক্লোজ
They wait,তারা অপেক্ষা করে,দে ওয়েট
They try,তারা চেষ্টা করে,দে ট্রাই
They live,তারা বাস করে,দে লিভ
They help,তারা সাহায্য করে,দে হেল্প
They call,তারা ডাকে,দে কল
They ask,তারা জিজ্ঞাসা করে,দে আস্ক
They take,তারা নেয়,দে টেক
They give,তারা দেয়,দে গিভ
They see,তারা দেখে,দে সি
They hear,তারা শোনে,দে হিয়ার
They feel,তারা অনুভব করে,দে ফিল
They understand,তারা বোঝে,দে আন্ডারস্ট্যান্ড
They make,তারা তৈরি করে,দে মেক
They study,তারা পড়াশোনা করে,দে স্টাডি
