I was playing,আমি খেলছিলাম,আই ওয়াজ প্লেয়িং
I was running,আমি দৌড়াচ্ছিলাম,আই ওয়াজ রানিং
I was eating,আমি খাচ্ছিলাম,আই ওয়াজ ইটিং
I was doing,আমি করছিলাম,আই ওয়াজ ডুইং
I was walking,আমি হাঁটছিলাম,আই ওয়াজ ওয়াকিং
I was going,আমি যাচ্ছিলাম,আই ওয়াজ গোইং
I was coming,আমি আসছিলাম,আই ওয়াজ কামিং
I was reading,আমি পড়ছিলাম,আই ওয়াজ রিডিং
I was writing,আমি লিখছিলাম,আই ওয়াজ রাইটিং
I was working,আমি কাজ করছিলাম,আই ওয়াজ ওয়ার্কিং
I was sleeping,আমি ঘুমাচ্ছিলাম,আই ওয়াজ স্লিপিং
I was drinking,আমি পান করছিলাম,আই ওয়াজ ড্রিঙ্কিং
I was sitting,আমি বসছিলাম,আই ওয়াজ সিটিং
I was standing,আমি দাঁড়াচ্ছিলাম,আই ওয়াজ স্ট্যান্ডিং
I was listening,আমি শুনছিলাম,আই ওয়াজ লিসেনিং
I was looking,আমি তাকাচ্ছিলাম,আই ওয়াজ লুকিং
I was loving,আমি ভালোবাসছিলাম,আই ওয়াজ লাভিং
I was wanting,আমি চাইছিলাম,আই ওয়াজ ওয়ান্টিং
I was thinking,আমি ভাবছিলাম,আই ওয়াজ থিংকিং
I was knowing,আমি জানছিলাম,আই ওয়াজ নোইং
I was learning,আমি শিখছিলাম,আই ওয়াজ লার্নিং
I was cooking,আমি রান্না করছিলাম,আই ওয়াজ কুকিং
I was speaking,আমি কথা বলছিলাম,আই ওয়াজ স্পিকিং
I was talking,আমি কথা বলছিলাম,আই ওয়াজ টকিং
I was opening,আমি খুলছিলাম,আই ওয়াজ ওপেনিং
I was closing,আমি বন্ধ করছিলাম,আই ওয়াজ ক্লোজিং
I was waiting,আমি অপেক্ষা করছিলাম,আই ওয়াজ ওয়েটিং
I was trying,আমি চেষ্টা করছিলাম,আই ওয়াজ ট্রাইং
I was living,আমি বাস করছিলাম,আই ওয়াজ লিভিং
