Will He be playing?,সে কি খেলতে থাকবে?,উইল হি বি প্লেয়িং
Will He be running?,সে কি দৌড়াইতে থাকবে?,উইল হি বি রানিং
Will He be eating?,সে কি খাইতে থাকবে?,উইল হি বি ইটিং
Will He be doing?,সে কি করতে থাকবে?,উইল হি বি ডুইং
Will He be walking?,সে কি হাঁটতে থাকবে?,উইল হি বি ওয়াকিং
Will He be going?,সে কি যাইতে থাকবে?,উইল হি বি গোইং
Will He be coming?,সে কি আসতে থাকবে?,উইল হি বি কামিং
Will He be reading?,সে কি পড়তে থাকবে?,উইল হি বি রিডিং
Will He be writing?,সে কি লিখতে থাকবে?,উইল হি বি রাইটিং
Will He be working?,সে কি কাজ করতে থাকবে?,উইল হি বি ওয়ার্কিং
Will He be sleeping?,সে কি ঘুমাইতে থাকবে?,উইল হি বি স্লিপিং
Will He be drinking?,সে কি পান করতে থাকবে?,উইল হি বি ড্রিঙ্কিং
Will He be sitting?,সে কি বসতে থাকবে?,উইল হি বি সিটিং
Will He be standing?,সে কি দাঁড়াইতে থাকবে?,উইল হি বি স্ট্যান্ডিং
Will He be listening?,সে কি শুনতে থাকবে?,উইল হি বি লিসেনিং
Will He be looking?,সে কি তাকাইতে থাকবে?,উইল হি বি লুকিং
Will He be loving?,সে কি ভালোবাসতে থাকবে?,উইল হি বি লাভিং
Will He be wanting?,সে কি চাইতে থাকবে?,উইল হি বি ওয়ান্টিং
Will He be thinking?,সে কি ভাবতে থাকবে?,উইল হি বি থিংকিং
Will He be knowing?,সে কি জানতে থাকবে?,উইল হি বি নোইং
Will He be learning?,সে কি শিখতে থাকবে?,উইল হি বি লার্নিং
Will He be cooking?,সে কি রান্না করতে থাকবে?,উইল হি বি কুকিং
Will He be speaking?,সে কি কথা বলতে থাকবে?,উইল হি বি স্পিকিং
Will He be talking?,সে কি কথা বলতে থাকবে?,উইল হি বি টকিং
Will He be opening?,সে কি খুলতে থাকবে?,উইল হি বি ওপেনিং
Will He be closing?,সে কি বন্ধ করতে থাকবে?,উইল হি বি ক্লোজিং
Will He be waiting?,সে কি অপেক্ষা করতে থাকবে?,উইল হি বি ওয়েটিং
Will He be trying?,সে কি চেষ্টা করতে থাকবে?,উইল হি বি ট্রাইং
Will He be living?,সে কি বাস করতে থাকবে?,উইল হি বি লিভিং
Will He be helping?,সে কি সাহায্য করতে থাকবে?,উইল হি বি হেল্পিং
Will He be calling?,সে কি ডাকতে থাকবে?,উইল হি বি কলিং
Will He be asking?,সে কি জিজ্ঞাসা করতে থাকবে?,উইল হি বি আস্কিং
Will He be taking?,সে কি নিইতে থাকবে?,উইল হি বি টেকিং
Will He be giving?,সে কি দিইতে থাকবে?,উইল হি বি গিভিং
Will He be seeing?,সে কি দেখতে থাকবে?,উইল হি বি সিইং
Will He be hearing?,সে কি শুনতে থাকবে?,উইল হি বি হিয়ারিং
