Are You playing?,তুমি কি খেলছো?,আর ইউ প্লেয়িং
Are You running?,তুমি কি দৌড়াচ্ছো?,আর ইউ রানিং
Are You eating?,তুমি কি খাচ্ছো?,আর ইউ ইটিং
Are You doing?,তুমি কি করছো?,আর ইউ ডুইং
Are You walking?,তুমি কি হাঁটছো?,আর ইউ ওয়াকিং
Are You going?,তুমি কি যাচ্ছো?,আর ইউ গোইং
Are You coming?,তুমি কি আসছো?,আর ইউ কামিং
Are You reading?,তুমি কি পড়ছো?,আর ইউ রিডিং
Are You writing?,তুমি কি লিখছো?,আর ইউ রাইটিং
Are You working?,তুমি কি কাজ করছো?,আর ইউ ওয়ার্কিং
Are You sleeping?,তুমি কি ঘুমাচ্ছো?,আর ইউ স্লিপিং
Are You drinking?,তুমি কি পান করছো?,আর ইউ ড্রিঙ্কিং
Are You sitting?,তুমি কি বসছো?,আর ইউ সিটিং
Are You standing?,তুমি কি দাঁড়াচ্ছো?,আর ইউ স্ট্যান্ডিং
Are You listening?,তুমি কি শুনছো?,আর ইউ লিসেনিং
Are You looking?,তুমি কি তাকাচ্ছো?,আর ইউ লুকিং
Are You loving?,তুমি কি ভালোবাসছো?,আর ইউ লাভিং
Are You wanting?,তুমি কি চাইছো?,আর ইউ ওয়ান্টিং
Are You thinking?,তুমি কি ভাবছো?,আর ইউ থিংকিং
Are You knowing?,তুমি কি জানছো?,আর ইউ নোইং
Are You learning?,তুমি কি শিখছো?,আর ইউ লার্নিং
Are You cooking?,তুমি কি রান্না করছো?,আর ইউ কুকিং
Are You speaking?,তুমি কি কথা বলছো?,আর ইউ স্পিকিং
Are You talking?,তুমি কি কথা বলছো?,আর ইউ টকিং
Are You opening?,তুমি কি খুলছো?,আর ইউ ওপেনিং
Are You closing?,তুমি কি বন্ধ করছো?,আর ইউ ক্লোজিং
Are You waiting?,তুমি কি অপেক্ষা করছো?,আর ইউ ওয়েটিং
Are You trying?,তুমি কি চেষ্টা করছো?,আর ইউ ট্রাইং
Are You living?,তুমি কি বাস করছো?,আর ইউ লিভিং
Are You helping?,তুমি কি সাহায্য করছো?,আর ইউ হেল্পিং
Are You calling?,তুমি কি ডাকছো?,আর ইউ কলিং
Are You asking?,তুমি কি জিজ্ঞাসা করছো?,আর ইউ আস্কিং
Are You taking?,তুমি কি নিচ্ছো?,আর ইউ টেকিং
Are You giving?,তুমি কি দিচ্ছো?,আর ইউ গিভিং
Are You seeing?,তুমি কি দেখছো?,আর ইউ সিইং
Are You hearing?,তুমি কি শুনছো?,আর ইউ হিয়ারিং
Are You feeling?,তুমি কি অনুভব করছো?,আর ইউ ফিলিং
Are You understanding?,তুমি কি বুঝছো?,আর ইউ আন্ডারস্ট্যান্ডিং
Are You singing?,তুমি কি গান করছো?,আর ইউ সিংইং
Are You swimming?,তুমি কি সাঁতার কাটছো?,আর ইউ সুইমিং
Are You driving?,তুমি কি গাড়ি চালাচ্ছো?,আর ইউ ড্রাইভিং
Are You studying?,তুমি কি পড়াশোনা করছো?,আর ইউ স্টাডিইং
Are You washing?,তুমি কি ধুছো?,আর ইউ ওয়াশিং
Are You watching?,তুমি কি দেখছো?,আর ইউ ওয়াচিং
Are You buying?,তুমি কি কিনছো?,আর ইউ বাইইং
Are You selling?,তুমি কি বিক্রি করছো?,আর ইউ সেলিং
Are You making?,তুমি কি তৈরি করছো?,আর ইউ মেকিং
Are You cleaning?,তুমি কি পরিষ্কার করছো?,আর ইউ ক্লিনিং
Are You dancing?,তুমি কি নাচছো?,আর ইউ ড্যান্সিং
Are You stopping?,তুমি কি থামছো?,আর ইউ স্টপিং
