Do you play?,তুমি কি খেলো?,ডু ইউ প্লে
Do you run?,তুমি কি দৌড়াও?,ডু ইউ রান
Do you eat?,তুমি কি খাও?,ডু ইউ ইট
Do you do?,তুমি কি করো?,ডু ইউ ডু
Do you walk?,তুমি কি হাঁটো?,ডু ইউ ওয়াক
Do you go?,তুমি কি যাও?,ডু ইউ গো
Do you come?,তুমি কি আসো?,ডু ইউ কাম
Do you read?,তুমি কি পড়ো?,ডু ইউ রিড
Do you write?,তুমি কি লিখো?,ডু ইউ রাইট
Do you work?,তুমি কি কাজ করো?,ডু ইউ ওয়ার্ক
Do you sleep?,তুমি কি ঘুমাও?,ডু ইউ স্লিপ
Do you drink?,তুমি কি পান করো?,ডু ইউ ড্রিঙ্ক
Do you sit?,তুমি কি বসো?,ডু ইউ সিট
Do you stand?,তুমি কি দাঁড়াও?,ডু ইউ স্ট্যান্ড
Do you listen?,তুমি কি শোনো?,ডু ইউ লিসেন
Do you look?,তুমি কি তাকাও?,ডু ইউ লুক
Do you love?,তুমি কি ভালোবাসো?,ডু ইউ লাভ
Do you want?,তুমি কি চাও?,ডু ইউ ওয়ান্ট
Do you think?,তুমি কি ভাবো?,ডু ইউ থিংক
Do you know?,তুমি কি জানো?,ডু ইউ নো
Do you learn?,তুমি কি শেখো?,ডু ইউ লার্ন
Do you cook?,তুমি কি রান্না করো?,ডু ইউ কুক
Do you speak?,তুমি কি কথা বলো?,ডু ইউ স্পিক
Do you talk?,তুমি কি কথা বলো?,ডু ইউ টক
Do you open?,তুমি কি খোলো?,ডু ইউ ওপেন
Do you close?,তুমি কি বন্ধ করো?,ডু ইউ ক্লোজ
Do you wait?,তুমি কি অপেক্ষা করো?,ডু ইউ ওয়েট
Do you try?,তুমি কি চেষ্টা করো?,ডু ইউ ট্রাই
Do you live?,তুমি কি বাস করো?,ডু ইউ লিভ
Do you help?,তুমি কি সাহায্য করো?,ডু ইউ হেল্প
Do you call?,তুমি কি ডাকো?,ডু ইউ কল
Do you ask?,তুমি কি জিজ্ঞাসা করো?,ডু ইউ আস্ক
Do you take?,তুমি কি নাও?,ডু ইউ টেক
Do you give?,তুমি কি দাও?,ডু ইউ গিভ
Do you see?,তুমি কি দেখো?,ডু ইউ সি
Do you hear?,তুমি কি শোনো?,ডু ইউ হিয়ার
Do you feel?,তুমি কি অনুভব করো?,ডু ইউ ফিল
Do you understand?,তুমি কি বুঝো?,ডু ইউ আন্ডারস্ট্যান্ড
Do you sing?,তুমি কি গান করো?,ডু ইউ সিং
Do you swim?,তুমি কি সাঁতার কাটো?,ডু ইউ সুইম
Do you drive?,তুমি কি গাড়ি চালাও?,ডু ইউ ড্রাইভ
Do you study?,তুমি কি পড়াশোনা করো?,ডু ইউ স্টাডি
Do you wash?,তুমি কি ধোও?,ডু ইউ ওয়াশ
Do you watch?,তুমি কি দেখো?,ডু ইউ ওয়াচ
Do you buy?,তুমি কি কিনো?,ডু ইউ বাই
