They will be playing,তারা খেলতে থাকবে,দে উইল বি প্লেয়িং
They will be running,তারা দৌড়াইতে থাকবে,দে উইল বি রানিং
They will be eating,তারা খাইতে থাকবে,দে উইল বি ইটিং
They will be doing,তারা করতে থাকবে,দে উইল বি ডুইং
They will be walking,তারা হাঁটতে থাকবে,দে উইল বি ওয়াকিং
They will be going,তারা যাইতে থাকবে,দে উইল বি গোইং
They will be coming,তারা আসতে থাকবে,দে উইল বি কামিং
They will be reading,তারা পড়তে থাকবে,দে উইল বি রিডিং
They will be writing,তারা লিখতে থাকবে,দে উইল বি রাইটিং
They will be working,তারা কাজ করতে থাকবে,দে উইল বি ওয়ার্কিং
They will be sleeping,তারা ঘুমাইতে থাকবে,দে উইল বি স্লিপিং
They will be drinking,তারা পান করতে থাকবে,দে উইল বি ড্রিঙ্কিং
They will be sitting,তারা বসতে থাকবে,দে উইল বি সিটিং
They will be standing,তারা দাঁড়াইতে থাকবে,দে উইল বি স্ট্যান্ডিং
They will be listening,তারা শুনতে থাকবে,দে উইল বি লিসেনিং
They will be looking,তারা তাকাইতে থাকবে,দে উইল বি লুকিং
They will be loving,তারা ভালোবাসতে থাকবে,দে উইল বি লাভিং
They will be wanting,তারা চাইতে থাকবে,দে উইল বি ওয়ান্টিং
They will be thinking,তারা ভাবতে থাকবে,দে উইল বি থিংকিং
They will be knowing,তারা জানতে থাকবে,দে উইল বি নোইং
They will be learning,তারা শিখতে থাকবে,দে উইল বি লার্নিং
They will be cooking,তারা রান্না করতে থাকবে,দে উইল বি কুকিং
They will be speaking,তারা কথা বলতে থাকবে,দে উইল বি স্পিকিং
They will be talking,তারা কথা বলতে থাকবে,দে উইল বি টকিং
They will be opening,তারা খুলতে থাকবে,দে উইল বি ওপেনিং
They will be closing,তারা বন্ধ করতে থাকবে,দে উইল বি ক্লোজিং
They will be waiting,তারা অপেক্ষা করতে থাকবে,দে উইল বি ওয়েটিং
They will be trying,তারা চেষ্টা করতে থাকবে,দে উইল বি ট্রাইং
They will be living,তারা বাস করতে থাকবে,দে উইল বি লিভিং
They will be helping,তারা সাহায্য করতে থাকবে,দে উইল বি হেল্পিং
They will be calling,তারা ডাকতে থাকবে,দে উইল বি কলিং
They will be asking,তারা জিজ্ঞাসা করতে থাকবে,দে উইল বি আস্কিং
They will be taking,তারা নিইতে থাকবে,দে উইল বি টেকিং
They will be giving,তারা দিইতে থাকবে,দে উইল বি গিভিং
They will be seeing,তারা দেখতে থাকবে,দে উইল বি সিইং
They will be hearing,তারা শুনতে থাকবে,দে উইল বি হিয়ারিং
They will be feeling,তারা অনুভব করতে থাকবে,দে উইল বি ফিলিং
They will be understanding,তারা বুঝতে থাকবে,দে উইল বি আন্ডারস্ট্যান্ডিং
They will be singing,তারা গান করতে থাকবে,দে উইল বি সিংইং
They will be swimming,তারা সাঁতার কাটতে থাকবে,দে উইল বি সুইমিং
They will be driving,তারা গাড়ি চালাইতে থাকবে,দে উইল বি ড্রাইভিং
They will be studying,তারা পড়াশোনা করতে থাকবে,দে উইল বি স্টাডিইং
They will be washing,তারা ধুইতে থাকবে,দে উইল বি ওয়াশিং
They will be watching,তারা দেখতে থাকবে,দে উইল বি ওয়াচিং
They will be buying,তারা কিনতে থাকবে,দে উইল বি বাইইং
They will be selling,তারা বিক্রি করতে থাকবে,দে উইল বি সেলিং
They will be making,তারা তৈরি করতে থাকবে,দে উইল বি মেকিং
They will be cleaning,তারা পরিষ্কার করতে থাকবে,দে উইল বি ক্লিনিং
