You play,তুমি খেলো,ইউ প্লে
You run,তুমি দৌড়াও,ইউ রান
You eat,তুমি খাও,ইউ ইট
You do,তুমি করো,ইউ ডু
You walk,তুমি হাঁটো,ইউ ওয়াক
You go,তুমি যাও,ইউ গো
You come,তুমি আসো,ইউ কাম
You read,তুমি পড়ো,ইউ রিড
You write,তুমি লেখো,ইউ রাইট
You work,তুমি কাজ করো,ইউ ওয়ার্ক
You sleep,তুমি ঘুমাও,ইউ স্লিপ
You drink,তুমি পান করো,ইউ ড্রিঙ্ক
You sit,তুমি বসো,ইউ সিট
You stand,তুমি দাঁড়াও,ইউ স্ট্যান্ড
You listen,তুমি শোনো,ইউ লিসেন
You look,তুমি তাকাও,ইউ লুক
You love,তুমি ভালোবাসো,ইউ লাভ
You want,তুমি চাও,ইউ ওয়ান্ট
You think,তুমি ভাবো,ইউ থিংক
You know,তুমি জানো,ইউ নো
You learn,তুমি শেখো,ইউ লার্ন
You cook,তুমি রান্না করো,ইউ কুক
You speak,তুমি কথা বলো,ইউ স্পিক
You talk,তুমি কথা বলো,ইউ টক
You open,তুমি খোলো,ইউ ওপেন
You close,তুমি বন্ধ করো,ইউ ক্লোজ
You wait,তুমি অপেক্ষা করো,ইউ ওয়েট
You try,তুমি চেষ্টা করো,ইউ ট্রাই
You live,তুমি বাস করো,ইউ লিভ
You help,তুমি সাহায্য করো,ইউ হেল্প
You call,তুমি ডাকো,ইউ কল
You ask,তুমি জিজ্ঞাসা করো,ইউ আস্ক
You take,তুমি নাও,ইউ টেক
You give,তুমি দাও,ইউ গিভ
You see,তুমি দেখো,ইউ সি
You hear,তুমি শোনো,ইউ হিয়ার
You feel,তুমি অনুভব করো,ইউ ফিল
You understand,তুমি বোঝো,ইউ আন্ডারস্ট্যান্ড
You make,তুমি তৈরি করো,ইউ মেক
You study,তুমি পড়াশোনা করো,ইউ স্টাডি
