She played,সে খেলল,শি প্লেড
She ran,সে দৌড়াইল,শি র্যান
She ate,সে খাইল,শি এট
She did,সে করল,শি ডিড
She walked,সে হাঁটল,শি ওয়াকড
She went,সে যাইল,শি ওয়েন্ট
She came,সে আসল,শি কেম
She read,সে পড়ল,শি রিড
She wrote,সে লিখল,শি রোট
She worked,সে কাজ করল,শি ওয়ার্কড
She slept,সে ঘুমাইল,শি স্লেপ্ট
She drank,সে পান করল,শি ড্র্যাঙ্ক
She sat,সে বসল,শি স্যাট
She stood,সে দাঁড়াইল,শি স্টুড
She listened,সে শুনল,শি লিসেন্ড
She looked,সে তাকাইল,শি লুকড
She loved,সে ভালোবাসল,শি লাভড
She wanted,সে চাইল,শি ওয়ান্টেড
She thought,সে ভাবল,শি থট
She knew,সে জানল,শি নিউ
She learnt,সে শিখল,শি লার্ন্ট
She cooked,সে রান্না করল,শি কুকড
She spoke,সে কথা বলল,শি স্পোক
She talked,সে কথা বলল,শি টকড
She opened,সে খুলল,শি ওপেনড
She closed,সে বন্ধ করল,শি ক্লোজড
She waited,সে অপেক্ষা করল,শি ওয়েটেড
She tried,সে চেষ্টা করল,শি ট্রাইড
She lived,সে বাস করল,শি লিভড
She helped,সে সাহায্য করল,শি হেল্প্ট
She called,সে ডাকল,শি কলড
She asked,সে জিজ্ঞাসা করল,শি আস্ক্ট
She took,সে নিইল,শি টুক
She gave,সে দিইল,শি গেভ
She saw,সে দেখল,শি সো
She heard,সে শুনল,শি হার্ড
She felt,সে অনুভব করল,শি ফেল্ট
She understood,সে বুঝল,শি আন্ডারস্টুড
She sang,সে গান করল,শি স্যাং
She swam,সে সাঁতার কাটল,শি সোয়াম
She drove,সে গাড়ি চালাইল,শি ড্রোভ
She studied,সে পড়াশোনা করল,শি স্টাডিড
She washed,সে ধুইল,শি ওয়াশ্ট
She watched,সে দেখল,শি ওয়াচ্ট
She bought,সে কিনল,শি বট
She sold,সে বিক্রি করল,শি সোল্ড
She made,সে তৈরি করল,শি মেড
She cleaned,সে পরিষ্কার করল,শি ক্লিনড
She danced,সে নাচল,শি ড্যান্স্ট
She stopped,সে থামল,শি স্টপ্ট
She started,সে শুরু করল,শি স্টার্টেড
She finished,সে শেষ করল,শি ফিনিশ্ট
She changed,সে পরিবর্তন করল,শি চেঞ্জড
She paid,সে পরিশোধ করল,শি পেড
She used,সে ব্যবহার করল,শি ইউজড
She showed,সে দেখাইল,শি শোড
She told,সে বলল,শি টোল্ড
She left,সে ছেড়ে যাইল,শি লেফ্ট
She brought,সে আনল,শি ব্রট
She kept,সে রাখল,শি কেপ্ট
She put,সে রাখল,শি পুট
She found,সে খুঁজে পাইল,শি ফাউন্ড
She forgot,সে ভুলে যাইল,শি ফরগট
She remembered,সে মনে রাখল,শি রিমেম্বার্ড
She needed,সে প্রয়োজনল,শি নিডেড
She believed,সে বিশ্বাস করল,শি বিলিভড
She agreed,সে রাজল,শি অ্যাগ্রিড
She answered,সে উত্তর দেইল,শি আন্সার্ড
She broke,সে ভাঙল,শি ব্রোক
She built,সে নির্মাণ করল,শি বিল্ট
She chose,সে পছন্দ করল,শি চোজ
She cut,সে কাটল,শি কাট
She decided,সে সিদ্ধান্ত নিইল,শি ডিসাইডেড
She explained,সে ব্যাখ্যা করল,শি এক্সপ্লেইন্ড
She fell,সে পড়ে যাইল,শি ফেল
She got,সে পাইল,শি গট
She grew,সে বড় হইল,শি গ্রু
She hoped,সে আশা করল,শি হোপ্ট
She joined,সে যোগ দিইল,শি জয়েন্ড
She met,সে সাক্ষাৎ করল,শি মেট
She sent,সে পাঠাইল,শি সেন্ট
She spent,সে ব্যয় করল,শি স্পেন্ট
She taught,সে শেখাইল,শি টচ
She won,সে জয়ী হইল,শি ওয়ান
