He wasn't playing,সে খেলছিল না,হি ওয়াজন্ট প্লেয়িং
He wasn't running,সে দৌড়াচ্ছিল না,হি ওয়াজন্ট রানিং
He wasn't eating,সে খাচ্ছিল না,হি ওয়াজন্ট ইটিং
He wasn't doing,সে করছিল না,হি ওয়াজন্ট ডুইং
He wasn't walking,সে হাঁটছিল না,হি ওয়াজন্ট ওয়াকিং
He wasn't going,সে যাচ্ছিল না,হি ওয়াজন্ট গোইং
He wasn't coming,সে আসছিল না,হি ওয়াজন্ট কামিং
He wasn't reading,সে পড়ছিল না,হি ওয়াজন্ট রিডিং
He wasn't writing,সে লিখছিল না,হি ওয়াজন্ট রাইটিং
He wasn't working,সে কাজ করছিল না,হি ওয়াজন্ট ওয়ার্কিং
He wasn't sleeping,সে ঘুমাচ্ছিল না,হি ওয়াজন্ট স্লিপিং
He wasn't drinking,সে পান করছিল না,হি ওয়াজন্ট ড্রিঙ্কিং
He wasn't sitting,সে বসছিল না,হি ওয়াজন্ট সিটিং
He wasn't standing,সে দাঁড়াচ্ছিল না,হি ওয়াজন্ট স্ট্যান্ডিং
He wasn't listening,সে শুনছিল না,হি ওয়াজন্ট লিসেনিং
He wasn't looking,সে তাকাচ্ছিল না,হি ওয়াজন্ট লুকিং
He wasn't loving,সে ভালোবাসছিল না,হি ওয়াজন্ট লাভিং
He wasn't wanting,সে চাইছিল না,হি ওয়াজন্ট ওয়ান্টিং
He wasn't thinking,সে ভাবছিল না,হি ওয়াজন্ট থিংকিং
He wasn't knowing,সে জানছিল না,হি ওয়াজন্ট নোইং
He wasn't learning,সে শিখছিল না,হি ওয়াজন্ট লার্নিং
He wasn't cooking,সে রান্না করছিল না,হি ওয়াজন্ট কুকিং
He wasn't speaking,সে কথা বলছিল না,হি ওয়াজন্ট স্পিকিং
He wasn't talking,সে কথা বলছিল না,হি ওয়াজন্ট টকিং
He wasn't opening,সে খুলছিল না,হি ওয়াজন্ট ওপেনিং
He wasn't closing,সে বন্ধ করছিল না,হি ওয়াজন্ট ক্লোজিং
He wasn't waiting,সে অপেক্ষা করছিল না,হি ওয়াজন্ট ওয়েটিং
He wasn't trying,সে চেষ্টা করছিল না,হি ওয়াজন্ট ট্রাইং
He wasn't living,সে বাস করছিল না,হি ওয়াজন্ট লিভিং
He wasn't helping,সে সাহায্য করছিল না,হি ওয়াজন্ট হেল্পিং
He wasn't calling,সে ডাকছিল না,হি ওয়াজন্ট কলিং
He wasn't asking,সে জিজ্ঞাসা করছিল না,হি ওয়াজন্ট আস্কিং
He wasn't taking,সে নিচ্ছিল না,হি ওয়াজন্ট টেকিং
He wasn't giving,সে দিচ্ছিল না,হি ওয়াজন্ট গিভিং
He wasn't seeing,সে দেখছিল না,হি ওয়াজন্ট সিইং
He wasn't hearing,সে শুনছিল না,হি ওয়াজন্ট হিয়ারিং
He wasn't feeling,সে অনুভব করছিল না,হি ওয়াজন্ট ফিলিং
He wasn't understanding,সে বুঝছিল না,হি ওয়াজন্ট আন্ডারস্ট্যান্ডিং
He wasn't singing,সে গান করছিল না,হি ওয়াজন্ট সিংইং
