Weren't You playing?,তুমি কি খেলছিলে না?,ওয়ারন্ট ইউ প্লেয়িং
Weren't You running?,তুমি কি দৌড়াচ্ছিলে না?,ওয়ারন্ট ইউ রানিং
Weren't You eating?,তুমি কি খাচ্ছিলে না?,ওয়ারন্ট ইউ ইটিং
Weren't You doing?,তুমি কি করছিলে না?,ওয়ারন্ট ইউ ডুইং
Weren't You walking?,তুমি কি হাঁটছিলে না?,ওয়ারন্ট ইউ ওয়াকিং
Weren't You going?,তুমি কি যাচ্ছিলে না?,ওয়ারন্ট ইউ গোইং
Weren't You coming?,তুমি কি আসছিলে না?,ওয়ারন্ট ইউ কামিং
Weren't You reading?,তুমি কি পড়ছিলে না?,ওয়ারন্ট ইউ রিডিং
Weren't You writing?,তুমি কি লিখছিলে না?,ওয়ারন্ট ইউ রাইটিং
Weren't You working?,তুমি কি কাজ করছিলে না?,ওয়ারন্ট ইউ ওয়ার্কিং
Weren't You sleeping?,তুমি কি ঘুমাচ্ছিলে না?,ওয়ারন্ট ইউ স্লিপিং
Weren't You drinking?,তুমি কি পান করছিলে না?,ওয়ারন্ট ইউ ড্রিঙ্কিং
Weren't You sitting?,তুমি কি বসছিলে না?,ওয়ারন্ট ইউ সিটিং
Weren't You standing?,তুমি কি দাঁড়াচ্ছিলে না?,ওয়ারন্ট ইউ স্ট্যান্ডিং
Weren't You listening?,তুমি কি শুনছিলে না?,ওয়ারন্ট ইউ লিসেনিং
Weren't You looking?,তুমি কি তাকাচ্ছিলে না?,ওয়ারন্ট ইউ লুকিং
Weren't You loving?,তুমি কি ভালোবাসছিলে না?,ওয়ারন্ট ইউ লাভিং
Weren't You wanting?,তুমি কি চাইছিলে না?,ওয়ারন্ট ইউ ওয়ান্টিং
Weren't You thinking?,তুমি কি ভাবছিলে না?,ওয়ারন্ট ইউ থিংকিং
Weren't You knowing?,তুমি কি জানছিলে না?,ওয়ারন্ট ইউ নোইং
Weren't You learning?,তুমি কি শিখছিলে না?,ওয়ারন্ট ইউ লার্নিং
Weren't You cooking?,তুমি কি রান্না করছিলে না?,ওয়ারন্ট ইউ কুকিং
Weren't You speaking?,তুমি কি কথা বলছিলে না?,ওয়ারন্ট ইউ স্পিকিং
Weren't You talking?,তুমি কি কথা বলছিলে না?,ওয়ারন্ট ইউ টকিং
Weren't You opening?,তুমি কি খুলছিলে না?,ওয়ারন্ট ইউ ওপেনিং
Weren't You closing?,তুমি কি বন্ধ করছিলে না?,ওয়ারন্ট ইউ ক্লোজিং
Weren't You waiting?,তুমি কি অপেক্ষা করছিলে না?,ওয়ারন্ট ইউ ওয়েটিং
Weren't You trying?,তুমি কি চেষ্টা করছিলে না?,ওয়ারন্ট ইউ ট্রাইং
Weren't You living?,তুমি কি বাস করছিলে না?,ওয়ারন্ট ইউ লিভিং
Weren't You helping?,তুমি কি সাহায্য করছিলে না?,ওয়ারন্ট ইউ হেল্পিং
Weren't You calling?,তুমি কি ডাকছিলে না?,ওয়ারন্ট ইউ কলিং
Weren't You asking?,তুমি কি জিজ্ঞাসা করছিলে না?,ওয়ারন্ট ইউ আস্কিং
Weren't You taking?,তুমি কি নিচ্ছিলে না?,ওয়ারন্ট ইউ টেকিং
Weren't You giving?,তুমি কি দিচ্ছিলে না?,ওয়ারন্ট ইউ গিভিং
Weren't You seeing?,তুমি কি দেখছিলে না?,ওয়ারন্ট ইউ সিইং
