We won't be playing,আমরা খেলতে থাকব না,উই ওয়োন্ট বি প্লেয়িং
We won't be running,আমরা দৌড়াইতে থাকব না,উই ওয়োন্ট বি রানিং
We won't be eating,আমরা খাইতে থাকব না,উই ওয়োন্ট বি ইটিং
We won't be doing,আমরা করতে থাকব না,উই ওয়োন্ট বি ডুইং
We won't be walking,আমরা হাঁটতে থাকব না,উই ওয়োন্ট বি ওয়াকিং
We won't be going,আমরা যাইতে থাকব না,উই ওয়োন্ট বি গোইং
We won't be coming,আমরা আসতে থাকব না,উই ওয়োন্ট বি কামিং
We won't be reading,আমরা পড়তে থাকব না,উই ওয়োন্ট বি রিডিং
We won't be writing,আমরা লিখতে থাকব না,উই ওয়োন্ট বি রাইটিং
We won't be working,আমরা কাজ করতে থাকব না,উই ওয়োন্ট বি ওয়ার্কিং
We won't be sleeping,আমরা ঘুমাইতে থাকব না,উই ওয়োন্ট বি স্লিপিং
We won't be drinking,আমরা পান করতে থাকব না,উই ওয়োন্ট বি ড্রিঙ্কিং
We won't be sitting,আমরা বসতে থাকব না,উই ওয়োন্ট বি সিটিং
We won't be standing,আমরা দাঁড়াইতে থাকব না,উই ওয়োন্ট বি স্ট্যান্ডিং
We won't be listening,আমরা শুনতে থাকব না,উই ওয়োন্ট বি লিসেনিং
We won't be looking,আমরা তাকাইতে থাকব না,উই ওয়োন্ট বি লুকিং
We won't be loving,আমরা ভালোবাসতে থাকব না,উই ওয়োন্ট বি লাভিং
We won't be wanting,আমরা চাইতে থাকব না,উই ওয়োন্ট বি ওয়ান্টিং
We won't be thinking,আমরা ভাবতে থাকব না,উই ওয়োন্ট বি থিংকিং
We won't be knowing,আমরা জানতে থাকব না,উই ওয়োন্ট বি নোইং
We won't be learning,আমরা শিখতে থাকব না,উই ওয়োন্ট বি লার্নিং
We won't be cooking,আমরা রান্না করতে থাকব না,উই ওয়োন্ট বি কুকিং
We won't be speaking,আমরা কথা বলতে থাকব না,উই ওয়োন্ট বি স্পিকিং
We won't be talking,আমরা কথা বলতে থাকব না,উই ওয়োন্ট বি টকিং
We won't be opening,আমরা খুলতে থাকব না,উই ওয়োন্ট বি ওপেনিং
We won't be closing,আমরা বন্ধ করতে থাকব না,উই ওয়োন্ট বি ক্লোজিং
We won't be waiting,আমরা অপেক্ষা করতে থাকব না,উই ওয়োন্ট বি ওয়েটিং
We won't be trying,আমরা চেষ্টা করতে থাকব না,উই ওয়োন্ট বি ট্রাইং
We won't be living,আমরা বাস করতে থাকব না,উই ওয়োন্ট বি লিভিং
We won't be helping,আমরা সাহায্য করতে থাকব না,উই ওয়োন্ট বি হেল্পিং
We won't be calling,আমরা ডাকতে থাকব না,উই ওয়োন্ট বি কলিং
We won't be asking,আমরা জিজ্ঞাসা করতে থাকব না,উই ওয়োন্ট বি আস্কিং
We won't be taking,আমরা নিইতে থাকব না,উই ওয়োন্ট বি টেকিং
We won't be giving,আমরা দিইতে থাকব না,উই ওয়োন্ট বি গিভিং
We won't be seeing,আমরা দেখতে থাকব না,উই ওয়োন্ট বি সিইং
We won't be hearing,আমরা শুনতে থাকব না,উই ওয়োন্ট বি হিয়ারিং
We won't be feeling,আমরা অনুভব করতে থাকব না,উই ওয়োন্ট বি ফিলিং
We won't be understanding,আমরা বুঝতে থাকব না,উই ওয়োন্ট বি আন্ডারস্ট্যান্ডিং
We won't be singing,আমরা গান করতে থাকব না,উই ওয়োন্ট বি সিংইং
We won't be swimming,আমরা সাঁতার কাটতে থাকব না,উই ওয়োন্ট বি সুইমিং
We won't be driving,আমরা গাড়ি চালাইতে থাকব না,উই ওয়োন্ট বি ড্রাইভিং
We won't be studying,আমরা পড়াশোনা করতে থাকব না,উই ওয়োন্ট বি স্টাডিইং
We won't be washing,আমরা ধুইতে থাকব না,উই ওয়োন্ট বি ওয়াশিং
We won't be watching,আমরা দেখতে থাকব না,উই ওয়োন্ট বি ওয়াচিং
We won't be buying,আমরা কিনতে থাকব না,উই ওয়োন্ট বি বাইইং
We won't be selling,আমরা বিক্রি করতে থাকব না,উই ওয়োন্ট বি সেলিং
We won't be making,আমরা তৈরি করতে থাকব না,উই ওয়োন্ট বি মেকিং
We won't be cleaning,আমরা পরিষ্কার করতে থাকব না,উই ওয়োন্ট বি ক্লিনিং
We won't be dancing,আমরা নাচতে থাকব না,উই ওয়োন্ট বি ড্যান্সিং
We won't be stopping,আমরা থামতে থাকব না,উই ওয়োন্ট বি স্টপিং
We won't be starting,আমরা শুরু করতে থাকব না,উই ওয়োন্ট বি স্টার্টিং
