Isn't He playing?,সে কি খেলছে না?,ইজন্ট হি প্লেয়িং
Isn't He running?,সে কি দৌড়াচ্ছে না?,ইজন্ট হি রানিং
Isn't He eating?,সে কি খাচ্ছে না?,ইজন্ট হি ইটিং
Isn't He doing?,সে কি করছে না?,ইজন্ট হি ডুইং
Isn't He walking?,সে কি হাঁটছে না?,ইজন্ট হি ওয়াকিং
Isn't He going?,সে কি যাচ্ছে না?,ইজন্ট হি গোইং
Isn't He coming?,সে কি আসছে না?,ইজন্ট হি কামিং
Isn't He reading?,সে কি পড়ছে না?,ইজন্ট হি রিডিং
Isn't He writing?,সে কি লিখছে না?,ইজন্ট হি রাইটিং
Isn't He working?,সে কি কাজ করছে না?,ইজন্ট হি ওয়ার্কিং
Isn't He sleeping?,সে কি ঘুমাচ্ছে না?,ইজন্ট হি স্লিপিং
Isn't He drinking?,সে কি পান করছে না?,ইজন্ট হি ড্রিঙ্কিং
Isn't He sitting?,সে কি বসছে না?,ইজন্ট হি সিটিং
Isn't He standing?,সে কি দাঁড়াচ্ছে না?,ইজন্ট হি স্ট্যান্ডিং
Isn't He listening?,সে কি শুনছে না?,ইজন্ট হি লিসেনিং
Isn't He looking?,সে কি তাকাচ্ছে না?,ইজন্ট হি লুকিং
Isn't He loving?,সে কি ভালোবাসছে না?,ইজন্ট হি লাভিং
Isn't He wanting?,সে কি চাইছে না?,ইজন্ট হি ওয়ান্টিং
Isn't He thinking?,সে কি ভাবছে না?,ইজন্ট হি থিংকিং
Isn't He knowing?,সে কি জানছে না?,ইজন্ট হি নোইং
Isn't He learning?,সে কি শিখছে না?,ইজন্ট হি লার্নিং
Isn't He cooking?,সে কি রান্না করছে না?,ইজন্ট হি কুকিং
Isn't He speaking?,সে কি কথা বলছে না?,ইজন্ট হি স্পিকিং
Isn't He talking?,সে কি কথা বলছে না?,ইজন্ট হি টকিং
Isn't He opening?,সে কি খুলছে না?,ইজন্ট হি ওপেনিং
Isn't He closing?,সে কি বন্ধ করছে না?,ইজন্ট হি ক্লোজিং
Isn't He waiting?,সে কি অপেক্ষা করছে না?,ইজন্ট হি ওয়েটিং
Isn't He trying?,সে কি চেষ্টা করছে না?,ইজন্ট হি ট্রাইং
Isn't He living?,সে কি বাস করছে না?,ইজন্ট হি লিভিং
Isn't He helping?,সে কি সাহায্য করছে না?,ইজন্ট হি হেল্পিং
Isn't He calling?,সে কি ডাকছে না?,ইজন্ট হি কলিং
Isn't He asking?,সে কি জিজ্ঞাসা করছে না?,ইজন্ট হি আস্কিং
Isn't He taking?,সে কি নিচ্ছে না?,ইজন্ট হি টেকিং
Isn't He giving?,সে কি দিচ্ছে না?,ইজন্ট হি গিভিং
Isn't He seeing?,সে কি দেখছে না?,ইজন্ট হি সিইং
Isn't He hearing?,সে কি শুনছে না?,ইজন্ট হি হিয়ারিং
Isn't He feeling?,সে কি অনুভব করছে না?,ইজন্ট হি ফিলিং
Isn't He understanding?,সে কি বুঝছে না?,ইজন্ট হি আন্ডারস্ট্যান্ডিং
Isn't He singing?,সে কি গান করছে না?,ইজন্ট হি সিংইং
Isn't He swimming?,সে কি সাঁতার কাটছে না?,ইজন্ট হি সুইমিং
Isn't He driving?,সে কি গাড়ি চালাচ্ছে না?,ইজন্ট হি ড্রাইভিং
Isn't He studying?,সে কি পড়াশোনা করছে না?,ইজন্ট হি স্টাডিইং
Isn't He washing?,সে কি ধুছে না?,ইজন্ট হি ওয়াশিং
Isn't He watching?,সে কি দেখছে না?,ইজন্ট হি ওয়াচিং
Isn't He buying?,সে কি কিনছে না?,ইজন্ট হি বাইইং
Isn't He selling?,সে কি বিক্রি করছে না?,ইজন্ট হি সেলিং
