Weren't We playing?,আমরা কি খেলছিলাম না?,ওয়ারন্ট উই প্লেয়িং
Weren't We running?,আমরা কি দৌড়াচ্ছিলাম না?,ওয়ারন্ট উই রানিং
Weren't We eating?,আমরা কি খাচ্ছিলাম না?,ওয়ারন্ট উই ইটিং
Weren't We doing?,আমরা কি করছিলাম না?,ওয়ারন্ট উই ডুইং
Weren't We walking?,আমরা কি হাঁটছিলাম না?,ওয়ারন্ট উই ওয়াকিং
Weren't We going?,আমরা কি যাচ্ছিলাম না?,ওয়ারন্ট উই গোইং
Weren't We coming?,আমরা কি আসছিলাম না?,ওয়ারন্ট উই কামিং
Weren't We reading?,আমরা কি পড়ছিলাম না?,ওয়ারন্ট উই রিডিং
Weren't We writing?,আমরা কি লিখছিলাম না?,ওয়ারন্ট উই রাইটিং
Weren't We working?,আমরা কি কাজ করছিলাম না?,ওয়ারন্ট উই ওয়ার্কিং
Weren't We sleeping?,আমরা কি ঘুমাচ্ছিলাম না?,ওয়ারন্ট উই স্লিপিং
Weren't We drinking?,আমরা কি পান করছিলাম না?,ওয়ারন্ট উই ড্রিঙ্কিং
Weren't We sitting?,আমরা কি বসছিলাম না?,ওয়ারন্ট উই সিটিং
Weren't We standing?,আমরা কি দাঁড়াচ্ছিলাম না?,ওয়ারন্ট উই স্ট্যান্ডিং
Weren't We listening?,আমরা কি শুনছিলাম না?,ওয়ারন্ট উই লিসেনিং
Weren't We looking?,আমরা কি তাকাচ্ছিলাম না?,ওয়ারন্ট উই লুকিং
Weren't We loving?,আমরা কি ভালোবাসছিলাম না?,ওয়ারন্ট উই লাভিং
Weren't We wanting?,আমরা কি চাইছিলাম না?,ওয়ারন্ট উই ওয়ান্টিং
Weren't We thinking?,আমরা কি ভাবছিলাম না?,ওয়ারন্ট উই থিংকিং
Weren't We knowing?,আমরা কি জানছিলাম না?,ওয়ারন্ট উই নোইং
Weren't We learning?,আমরা কি শিখছিলাম না?,ওয়ারন্ট উই লার্নিং
Weren't We cooking?,আমরা কি রান্না করছিলাম না?,ওয়ারন্ট উই কুকিং
Weren't We speaking?,আমরা কি কথা বলছিলাম না?,ওয়ারন্ট উই স্পিকিং
Weren't We talking?,আমরা কি কথা বলছিলাম না?,ওয়ারন্ট উই টকিং
Weren't We opening?,আমরা কি খুলছিলাম না?,ওয়ারন্ট উই ওপেনিং
Weren't We closing?,আমরা কি বন্ধ করছিলাম না?,ওয়ারন্ট উই ক্লোজিং
Weren't We waiting?,আমরা কি অপেক্ষা করছিলাম না?,ওয়ারন্ট উই ওয়েটিং
Weren't We trying?,আমরা কি চেষ্টা করছিলাম না?,ওয়ারন্ট উই ট্রাইং
Weren't We living?,আমরা কি বাস করছিলাম না?,ওয়ারন্ট উই লিভিং
Weren't We helping?,আমরা কি সাহায্য করছিলাম না?,ওয়ারন্ট উই হেল্পিং
Weren't We calling?,আমরা কি ডাকছিলাম না?,ওয়ারন্ট উই কলিং
Weren't We asking?,আমরা কি জিজ্ঞাসা করছিলাম না?,ওয়ারন্ট উই আস্কিং
Weren't We taking?,আমরা কি নিচ্ছিলাম না?,ওয়ারন্ট উই টেকিং
Weren't We giving?,আমরা কি দিচ্ছিলাম না?,ওয়ারন্ট উই গিভিং
Weren't We seeing?,আমরা কি দেখছিলাম না?,ওয়ারন্ট উই সিইং
Weren't We hearing?,আমরা কি শুনছিলাম না?,ওয়ারন্ট উই হিয়ারিং
Weren't We feeling?,আমরা কি অনুভব করছিলাম না?,ওয়ারন্ট উই ফিলিং
Weren't We understanding?,আমরা কি বুঝছিলাম না?,ওয়ারন্ট উই আন্ডারস্ট্যান্ডিং
Weren't We singing?,আমরা কি গান করছিলাম না?,ওয়ারন্ট উই সিংইং
Weren't We swimming?,আমরা কি সাঁতার কাটছিলাম না?,ওয়ারন্ট উই সুইমিং
Weren't We driving?,আমরা কি গাড়ি চালাচ্ছিলাম না?,ওয়ারন্ট উই ড্রাইভিং
