Are you playing?,তুমি কি খেলছো?,আর ইউ প্লেয়িং
Are you running?,তুমি কি দৌড়াচ্ছো?,আর ইউ রানিং
Are you eating?,তুমি কি খাচ্ছো?,আর ইউ ইটিং
Are you doing?,তুমি কি করছো?,আর ইউ ডুইং
Are you walking?,তুমি কি হাঁটছো?,আর ইউ ওয়াকিং
Are you going?,তুমি কি যাচ্ছো?,আর ইউ গোইং
Are you coming?,তুমি কি আসছো?,আর ইউ কামিং
Are you reading?,তুমি কি পড়ছো?,আর ইউ রিডিং
Are you writing?,তুমি কি লিখছো?,আর ইউ রাইটিং
Are you working?,তুমি কি কাজ করছো?,আর ইউ ওয়ার্কিং
Are you sleeping?,তুমি কি ঘুমাচ্ছো?,আর ইউ স্লিপিং
Are you drinking?,তুমি কি পান করছো?,আর ইউ ড্রিঙ্কিং
Are you sitting?,তুমি কি বসছো?,আর ইউ সিটিং
Are you standing?,তুমি কি দাঁড়াচ্ছো?,আর ইউ স্ট্যান্ডিং
Are you listening?,তুমি কি শুনছো?,আর ইউ লিসেনিং
Are you looking?,তুমি কি তাকাচ্ছো?,আর ইউ লুকিং
Are you loving?,তুমি কি ভালোবাসছো?,আর ইউ লাভিং
Are you wanting?,তুমি কি চাইছো?,আর ইউ ওয়ান্টিং
Are you thinking?,তুমি কি ভাবছো?,আর ইউ থিংকিং
Are you knowing?,তুমি কি জানছো?,আর ইউ নোইং
Are you learning?,তুমি কি শিখছো?,আর ইউ লার্নিং
Are you cooking?,তুমি কি রান্না করছো?,আর ইউ কুকিং
Are you speaking?,তুমি কি কথা বলছো?,আর ইউ স্পিকিং
Are you talking?,তুমি কি কথা বলছো?,আর ইউ টকিং
Are you opening?,তুমি কি খুলছো?,আর ইউ ওপেনিং
Are you closing?,তুমি কি বন্ধ করছো?,আর ইউ ক্লোজিং
Are you waiting?,তুমি কি অপেক্ষা করছো?,আর ইউ ওয়েটিং
Are you trying?,তুমি কি চেষ্টা করছো?,আর ইউ ট্রাইং
Are you living?,তুমি কি বাস করছো?,আর ইউ লিভিং
Are you helping?,তুমি কি সাহায্য করছো?,আর ইউ হেল্পিং
Are you calling?,তুমি কি ডাকছো?,আর ইউ কলিং
Are you asking?,তুমি কি জিজ্ঞাসা করছো?,আর ইউ আস্কিং
Are you taking?,তুমি কি নিচ্ছো?,আর ইউ টেকিং
Are you giving?,তুমি কি দিচ্ছো?,আর ইউ গিভিং
Are you seeing?,তুমি কি দেখছো?,আর ইউ সিইং
Are you hearing?,তুমি কি শুনছো?,আর ইউ হিয়ারিং
Are you feeling?,তুমি কি অনুভব করছো?,আর ইউ ফিলিং
Are you understanding?,তুমি কি বুঝছো?,আর ইউ আন্ডারস্ট্যান্ডিং
Are you singing?,তুমি কি গান করছো?,আর ইউ সিংইং
Are you swimming?,তুমি কি সাঁতার কাটছো?,আর ইউ সুইমিং
Are you driving?,তুমি কি গাড়ি চালাচ্ছো?,আর ইউ ড্রাইভিং
Are you studying?,তুমি কি পড়াশোনা করছো?,আর ইউ স্টাডিইং
Are you washing?,তুমি কি ধুছো?,আর ইউ ওয়াশিং
Are you watching?,তুমি কি দেখছো?,আর ইউ ওয়াচিং
Are you buying?,তুমি কি কিনছো?,আর ইউ বাইইং
Are you selling?,তুমি কি বিক্রি করছো?,আর ইউ সেলিং
Are you making?,তুমি কি তৈরি করছো?,আর ইউ মেকিং
Are you cleaning?,তুমি কি পরিষ্কার করছো?,আর ইউ ক্লিনিং
Are you dancing?,তুমি কি নাচছো?,আর ইউ ড্যান্সিং
Are you stopping?,তুমি কি থামছো?,আর ইউ স্টপিং
