Will You be playing?,তুমি কি খেলতে থাকবে?,উইল ইউ বি প্লেয়িং
Will You be running?,তুমি কি দৌড়াইতে থাকবে?,উইল ইউ বি রানিং
Will You be eating?,তুমি কি খাইতে থাকবে?,উইল ইউ বি ইটিং
Will You be doing?,তুমি কি করতে থাকবে?,উইল ইউ বি ডুইং
Will You be walking?,তুমি কি হাঁটতে থাকবে?,উইল ইউ বি ওয়াকিং
Will You be going?,তুমি কি যাইতে থাকবে?,উইল ইউ বি গোইং
Will You be coming?,তুমি কি আসতে থাকবে?,উইল ইউ বি কামিং
Will You be reading?,তুমি কি পড়তে থাকবে?,উইল ইউ বি রিডিং
Will You be writing?,তুমি কি লিখতে থাকবে?,উইল ইউ বি রাইটিং
Will You be working?,তুমি কি কাজ করতে থাকবে?,উইল ইউ বি ওয়ার্কিং
Will You be sleeping?,তুমি কি ঘুমাইতে থাকবে?,উইল ইউ বি স্লিপিং
Will You be drinking?,তুমি কি পান করতে থাকবে?,উইল ইউ বি ড্রিঙ্কিং
Will You be sitting?,তুমি কি বসতে থাকবে?,উইল ইউ বি সিটিং
Will You be standing?,তুমি কি দাঁড়াইতে থাকবে?,উইল ইউ বি স্ট্যান্ডিং
Will You be listening?,তুমি কি শুনতে থাকবে?,উইল ইউ বি লিসেনিং
Will You be looking?,তুমি কি তাকাইতে থাকবে?,উইল ইউ বি লুকিং
Will You be loving?,তুমি কি ভালোবাসতে থাকবে?,উইল ইউ বি লাভিং
Will You be wanting?,তুমি কি চাইতে থাকবে?,উইল ইউ বি ওয়ান্টিং
Will You be thinking?,তুমি কি ভাবতে থাকবে?,উইল ইউ বি থিংকিং
Will You be knowing?,তুমি কি জানতে থাকবে?,উইল ইউ বি নোইং
Will You be learning?,তুমি কি শিখতে থাকবে?,উইল ইউ বি লার্নিং
Will You be cooking?,তুমি কি রান্না করতে থাকবে?,উইল ইউ বি কুকিং
Will You be speaking?,তুমি কি কথা বলতে থাকবে?,উইল ইউ বি স্পিকিং
Will You be talking?,তুমি কি কথা বলতে থাকবে?,উইল ইউ বি টকিং
Will You be opening?,তুমি কি খুলতে থাকবে?,উইল ইউ বি ওপেনিং
Will You be closing?,তুমি কি বন্ধ করতে থাকবে?,উইল ইউ বি ক্লোজিং
Will You be waiting?,তুমি কি অপেক্ষা করতে থাকবে?,উইল ইউ বি ওয়েটিং
Will You be trying?,তুমি কি চেষ্টা করতে থাকবে?,উইল ইউ বি ট্রাইং
Will You be living?,তুমি কি বাস করতে থাকবে?,উইল ইউ বি লিভিং
Will You be helping?,তুমি কি সাহায্য করতে থাকবে?,উইল ইউ বি হেল্পিং
Will You be calling?,তুমি কি ডাকতে থাকবে?,উইল ইউ বি কলিং
Will You be asking?,তুমি কি জিজ্ঞাসা করতে থাকবে?,উইল ইউ বি আস্কিং
Will You be taking?,তুমি কি নিইতে থাকবে?,উইল ইউ বি টেকিং
