He played,সে খেলল,হি প্লেড
He ran,সে দৌড়াইল,হি র্যান
He ate,সে খাইল,হি এট
He did,সে করল,হি ডিড
He walked,সে হাঁটল,হি ওয়াকড
He went,সে যাইল,হি ওয়েন্ট
He came,সে আসল,হি কেম
He read,সে পড়ল,হি রিড
He wrote,সে লিখল,হি রোট
He worked,সে কাজ করল,হি ওয়ার্কড
He slept,সে ঘুমাইল,হি স্লেপ্ট
He drank,সে পান করল,হি ড্র্যাঙ্ক
He sat,সে বসল,হি স্যাট
He stood,সে দাঁড়াইল,হি স্টুড
He listened,সে শুনল,হি লিসেন্ড
He looked,সে তাকাইল,হি লুকড
He loved,সে ভালোবাসল,হি লাভড
He wanted,সে চাইল,হি ওয়ান্টেড
He thought,সে ভাবল,হি থট
He knew,সে জানল,হি নিউ
He learnt,সে শিখল,হি লার্ন্ট
He cooked,সে রান্না করল,হি কুকড
He spoke,সে কথা বলল,হি স্পোক
He talked,সে কথা বলল,হি টকড
He opened,সে খুলল,হি ওপেনড
He closed,সে বন্ধ করল,হি ক্লোজড
He waited,সে অপেক্ষা করল,হি ওয়েটেড
He tried,সে চেষ্টা করল,হি ট্রাইড
He lived,সে বাস করল,হি লিভড
He helped,সে সাহায্য করল,হি হেল্প্ট
He called,সে ডাকল,হি কলড
He asked,সে জিজ্ঞাসা করল,হি আস্ক্ট
He took,সে নিইল,হি টুক
He gave,সে দিইল,হি গেভ
He saw,সে দেখল,হি সো
He heard,সে শুনল,হি হার্ড
He felt,সে অনুভব করল,হি ফেল্ট
He understood,সে বুঝল,হি আন্ডারস্টুড
He sang,সে গান করল,হি স্যাং
He swam,সে সাঁতার কাটল,হি সোয়াম
He drove,সে গাড়ি চালাইল,হি ড্রোভ
He studied,সে পড়াশোনা করল,হি স্টাডিড
He washed,সে ধুইল,হি ওয়াশ্ট
He watched,সে দেখল,হি ওয়াচ্ট
He bought,সে কিনল,হি বট
He sold,সে বিক্রি করল,হি সোল্ড
He made,সে তৈরি করল,হি মেড
He cleaned,সে পরিষ্কার করল,হি ক্লিনড
He danced,সে নাচল,হি ড্যান্স্ট
He stopped,সে থামল,হি স্টপ্ট
He started,সে শুরু করল,হি স্টার্টেড
He finished,সে শেষ করল,হি ফিনিশ্ট
He changed,সে পরিবর্তন করল,হি চেঞ্জড
He paid,সে পরিশোধ করল,হি পেড
He used,সে ব্যবহার করল,হি ইউজড
He showed,সে দেখাইল,হি শোড
He told,সে বলল,হি টোল্ড
He left,সে ছেড়ে যাইল,হি লেফ্ট
He brought,সে আনল,হি ব্রট
He kept,সে রাখল,হি কেপ্ট
He put,সে রাখল,হি পুট
He found,সে খুঁজে পাইল,হি ফাউন্ড
He forgot,সে ভুলে যাইল,হি ফরগট
He remembered,সে মনে রাখল,হি রিমেম্বার্ড
He needed,সে প্রয়োজনল,হি নিডেড
He believed,সে বিশ্বাস করল,হি বিলিভড
He agreed,সে রাজল,হি অ্যাগ্রিড
He answered,সে উত্তর দেইল,হি আন্সার্ড
He broke,সে ভাঙল,হি ব্রোক
He built,সে নির্মাণ করল,হি বিল্ট
He chose,সে পছন্দ করল,হি চোজ
He cut,সে কাটল,হি কাট
He decided,সে সিদ্ধান্ত নিইল,হি ডিসাইডেড
He explained,সে ব্যাখ্যা করল,হি এক্সপ্লেইন্ড
He fell,সে পড়ে যাইল,হি ফেল
He got,সে পাইল,হি গট
He grew,সে বড় হইল,হি গ্রু
He hoped,সে আশা করল,হি হোপ্ট
He joined,সে যোগ দিইল,হি জয়েন্ড
He met,সে সাক্ষাৎ করল,হি মেট
He sent,সে পাঠাইল,হি সেন্ট
He spent,সে ব্যয় করল,হি স্পেন্ট
He taught,সে শেখাইল,হি টচ
He won,সে জয়ী হইল,হি ওয়ান
