He plays,সে খেলে,হি প্লেজ
He runs,সে দৌড়ায়,হি রান্স
He eats,সে খায়,হি ইট্স
He does,সে করে,হি ডাজ
He walks,সে হাঁটে,হি ওয়াক্স
He goes,সে যায়,হি গোজ
He comes,সে আসে,হি কামজ
He reads,সে পড়ে,হি রিডজ
He writes,সে লিখে,হি রাইট্স
He works,সে কাজ করে,হি ওয়ার্কস
He sleeps,সে ঘুমায়,হি স্লিপ্স
He drinks,সে পান করে,হি ড্রিঙ্ক্স
He sits,সে বসে,হি সিট্স
He stands,সে দাঁড়ায়,হি স্ট্যান্ড্স
He listens,সে শোনে,হি লিসেন্স
He looks,সে তাকায়,হি লুক্স
He loves,সে ভালোবাসে,হি লাভ্স
He wants,সে চায়,হি ওয়ান্ট্স
He thinks,সে ভাবে,হি থিংক্স
He knows,সে জানে,হি নোজ
He learns,সে শেখে,হি লার্ন্স
He cooks,সে রান্না করে,হি কুক্স
He speaks,সে কথা বলে,হি স্পিক্স
He talks,সে কথা বলে,হি টক্স
He opens,সে খোলে,হি ওপেন্স
He closes,সে বন্ধ করে,হি ক্লোজেজ
He waits,সে অপেক্ষা করে,হি ওয়েট্স
He tries,সে চেষ্টা করে,হি ট্রাইজ
He lives,সে বাস করে,হি লিভ্স
He helps,সে সাহায্য করে,হি হেল্প্স
He calls,সে ডাকে,হি কল্স
He asks,সে জিজ্ঞাসা করে,হি আস্ক্স
He takes,সে নেয়,হি টেক্স
He gives,সে দেয়,হি গিভ্স
He sees,সে দেখে,হি সিজ
He hears,সে শোনে,হি হিয়ার্স
He feels,সে অনুভব করে,হি ফিল্স
He understands,সে বোঝে,হি আন্ডারস্ট্যান্ড্স
He makes,সে তৈরি করে,হি মেক্স
He studies,সে পড়াশোনা করে,হি স্টাডিজ
