She won't be playing,সে খেলতে থাকব না,শি ওয়োন্ট বি প্লেয়িং
She won't be running,সে দৌড়াইতে থাকব না,শি ওয়োন্ট বি রানিং
She won't be eating,সে খাইতে থাকব না,শি ওয়োন্ট বি ইটিং
She won't be doing,সে করতে থাকব না,শি ওয়োন্ট বি ডুইং
She won't be walking,সে হাঁটতে থাকব না,শি ওয়োন্ট বি ওয়াকিং
She won't be going,সে যাইতে থাকব না,শি ওয়োন্ট বি গোইং
She won't be coming,সে আসতে থাকব না,শি ওয়োন্ট বি কামিং
She won't be reading,সে পড়তে থাকব না,শি ওয়োন্ট বি রিডিং
She won't be writing,সে লিখতে থাকব না,শি ওয়োন্ট বি রাইটিং
She won't be working,সে কাজ করতে থাকব না,শি ওয়োন্ট বি ওয়ার্কিং
She won't be sleeping,সে ঘুমাইতে থাকব না,শি ওয়োন্ট বি স্লিপিং
She won't be drinking,সে পান করতে থাকব না,শি ওয়োন্ট বি ড্রিঙ্কিং
She won't be sitting,সে বসতে থাকব না,শি ওয়োন্ট বি সিটিং
She won't be standing,সে দাঁড়াইতে থাকব না,শি ওয়োন্ট বি স্ট্যান্ডিং
She won't be listening,সে শুনতে থাকব না,শি ওয়োন্ট বি লিসেনিং
She won't be looking,সে তাকাইতে থাকব না,শি ওয়োন্ট বি লুকিং
She won't be loving,সে ভালোবাসতে থাকব না,শি ওয়োন্ট বি লাভিং
She won't be wanting,সে চাইতে থাকব না,শি ওয়োন্ট বি ওয়ান্টিং
She won't be thinking,সে ভাবতে থাকব না,শি ওয়োন্ট বি থিংকিং
She won't be knowing,সে জানতে থাকব না,শি ওয়োন্ট বি নোইং
She won't be learning,সে শিখতে থাকব না,শি ওয়োন্ট বি লার্নিং
She won't be cooking,সে রান্না করতে থাকব না,শি ওয়োন্ট বি কুকিং
She won't be speaking,সে কথা বলতে থাকব না,শি ওয়োন্ট বি স্পিকিং
She won't be talking,সে কথা বলতে থাকব না,শি ওয়োন্ট বি টকিং
She won't be opening,সে খুলতে থাকব না,শি ওয়োন্ট বি ওপেনিং
She won't be closing,সে বন্ধ করতে থাকব না,শি ওয়োন্ট বি ক্লোজিং
She won't be waiting,সে অপেক্ষা করতে থাকব না,শি ওয়োন্ট বি ওয়েটিং
She won't be trying,সে চেষ্টা করতে থাকব না,শি ওয়োন্ট বি ট্রাইং
She won't be living,সে বাস করতে থাকব না,শি ওয়োন্ট বি লিভিং
