Is He playing?,সে কি খেলছে?,ইজ হি প্লেয়িং
Is He running?,সে কি দৌড়াচ্ছে?,ইজ হি রানিং
Is He eating?,সে কি খাচ্ছে?,ইজ হি ইটিং
Is He doing?,সে কি করছে?,ইজ হি ডুইং
Is He walking?,সে কি হাঁটছে?,ইজ হি ওয়াকিং
Is He going?,সে কি যাচ্ছে?,ইজ হি গোইং
Is He coming?,সে কি আসছে?,ইজ হি কামিং
Is He reading?,সে কি পড়ছে?,ইজ হি রিডিং
Is He writing?,সে কি লিখছে?,ইজ হি রাইটিং
Is He working?,সে কি কাজ করছে?,ইজ হি ওয়ার্কিং
Is He sleeping?,সে কি ঘুমাচ্ছে?,ইজ হি স্লিপিং
Is He drinking?,সে কি পান করছে?,ইজ হি ড্রিঙ্কিং
Is He sitting?,সে কি বসছে?,ইজ হি সিটিং
Is He standing?,সে কি দাঁড়াচ্ছে?,ইজ হি স্ট্যান্ডিং
Is He listening?,সে কি শুনছে?,ইজ হি লিসেনিং
Is He looking?,সে কি তাকাচ্ছে?,ইজ হি লুকিং
Is He loving?,সে কি ভালোবাসছে?,ইজ হি লাভিং
Is He wanting?,সে কি চাইছে?,ইজ হি ওয়ান্টিং
Is He thinking?,সে কি ভাবছে?,ইজ হি থিংকিং
Is He knowing?,সে কি জানছে?,ইজ হি নোইং
Is He learning?,সে কি শিখছে?,ইজ হি লার্নিং
Is He cooking?,সে কি রান্না করছে?,ইজ হি কুকিং
Is He speaking?,সে কি কথা বলছে?,ইজ হি স্পিকিং
Is He talking?,সে কি কথা বলছে?,ইজ হি টকিং
Is He opening?,সে কি খুলছে?,ইজ হি ওপেনিং
Is He closing?,সে কি বন্ধ করছে?,ইজ হি ক্লোজিং
Is He waiting?,সে কি অপেক্ষা করছে?,ইজ হি ওয়েটিং
Is He trying?,সে কি চেষ্টা করছে?,ইজ হি ট্রাইং
Is He living?,সে কি বাস করছে?,ইজ হি লিভিং
Is He helping?,সে কি সাহায্য করছে?,ইজ হি হেল্পিং
Is He calling?,সে কি ডাকছে?,ইজ হি কলিং
Is He asking?,সে কি জিজ্ঞাসা করছে?,ইজ হি আস্কিং
Is He taking?,সে কি নিচ্ছে?,ইজ হি টেকিং
Is He giving?,সে কি দিচ্ছে?,ইজ হি গিভিং
Is He seeing?,সে কি দেখছে?,ইজ হি সিইং
Is He hearing?,সে কি শুনছে?,ইজ হি হিয়ারিং
Is He feeling?,সে কি অনুভব করছে?,ইজ হি ফিলিং
Is He understanding?,সে কি বুঝছে?,ইজ হি আন্ডারস্ট্যান্ডিং
Is He singing?,সে কি গান করছে?,ইজ হি সিংইং
Is He swimming?,সে কি সাঁতার কাটছে?,ইজ হি সুইমিং
Is He driving?,সে কি গাড়ি চালাচ্ছে?,ইজ হি ড্রাইভিং
Is He studying?,সে কি পড়াশোনা করছে?,ইজ হি স্টাডিইং
Is He washing?,সে কি ধুছে?,ইজ হি ওয়াশিং
Is He watching?,সে কি দেখছে?,ইজ হি ওয়াচিং
Is He buying?,সে কি কিনছে?,ইজ হি বাইইং
Is He selling?,সে কি বিক্রি করছে?,ইজ হি সেলিং
Is He making?,সে কি তৈরি করছে?,ইজ হি মেকিং
Is He cleaning?,সে কি পরিষ্কার করছে?,ইজ হি ক্লিনিং
Is He dancing?,সে কি নাচছে?,ইজ হি ড্যান্সিং
Is He stopping?,সে কি থামছে?,ইজ হি স্টপিং
Is He starting?,সে কি শুরু করছে?,ইজ হি স্টার্টিং
Is He finishing?,সে কি শেষ করছে?,ইজ হি ফিনিশিং
Is He changing?,সে কি পরিবর্তন করছে?,ইজ হি চেঞ্জিং
Is He paying?,সে কি পরিশোধ করছে?,ইজ হি পেয়িং
Is He using?,সে কি ব্যবহার করছে?,ইজ হি ইউজিং
Is He showing?,সে কি দেখাচ্ছে?,ইজ হি শোইং
Is He telling?,সে কি বলছে?,ইজ হি টেলিং
Is He leaving?,সে কি ছেড়ে যাচ্ছে?,ইজ হি লিভিং
Is He bringing?,সে কি আনছে?,ইজ হি ব্রিংইং
Is He keeping?,সে কি রাখছে?,ইজ হি কিপিং
Is He putting?,সে কি রাখছে?,ইজ হি পুটিং
Is He finding?,সে কি খুঁজে পাচ্ছে?,ইজ হি ফাইন্ডিং
Is He forgetting?,সে কি ভুলে যাচ্ছে?,ইজ হি ফরগেটিং
Is He remembering?,সে কি মনে রাখছে?,ইজ হি রিমেম্বারিং
Is He needing?,আমার কি প্রয়োজন হচ্ছে?,ইজ হি নিডিং
Is He believing?,সে কি বিশ্বাস করছে?,ইজ হি বিলিভিং
Is He agreeing?,সে কি রাজি হচ্ছে?,ইজ হি অ্যাগ্রিইং
Is He answering?,সে কি উত্তর দিচ্ছে?,ইজ হি আন্সারিং
Is He breaking?,সে কি ভাঙছে?,ইজ হি ব্রেকিং
Is He building?,সে কি নির্মাণ করছে?,ইজ হি বিল্ডিং
Is He choosing?,সে কি পছন্দ করছে?,ইজ হি চুজিং
Is He cutting?,সে কি কাটছে?,ইজ হি কাটিং
Is He deciding?,সে কি সিদ্ধান্ত নিচ্ছে?,ইজ হি ডিসাইডিং
Is He explaining?,সে কি ব্যাখ্যা করছে?,ইজ হি এক্সপ্লেইনিং
Is He falling?,সে কি পড়ে যাচ্ছে?,ইজ হি ফলিং
Is He getting?,সে কি পাচ্ছে?,ইজ হি গেটিং
Is He growing?,সে কি বড় হচ্ছে?,ইজ হি গ্রোইং
Is He hoping?,সে কি আশা করছে?,ইজ হি হোপিং
Is He joining?,সে কি যোগ দিচ্ছে?,ইজ হি জয়েনিং
Is He meeting?,সে কি সাক্ষাৎ করছে?,ইজ হি মিটিং
Is He sending?,সে কি পাঠাচ্ছে?,ইজ হি সেন্ডিং
Is He spending?,সে কি ব্যয় করছে?,ইজ হি স্পেন্ডিং
Is He teaching?,সে কি শেখাচ্ছে?,ইজ হি টিচিং
Is He winning?,সে কি জয়ী হচ্ছে?,ইজ হি উইনিং
