I play,আমি খেলি,আই প্লে
I run,আমি দৌড়াই,আই রান
I eat,আমি খাই,আই ইট
I do,আমি করি,আই ডু
I walk,আমি হাঁটি,আই ওয়াক
I go,আমি যাই,আই গো
I come,আমি আসি,আই কাম
I read,আমি পড়ি,আই রিড
I write,আমি লিখি,আই রাইট
I work,আমি কাজ করি,আই ওয়ার্ক
I sleep,আমি ঘুমাই,আই স্লিপ
I drink,আমি পান করি,আই ড্রিঙ্ক
I sit,আমি বসি,আই সিট
I stand,আমি দাঁড়াই,আই স্ট্যান্ড
I listen,আমি শুনি,আই লিসেন
I look,আমি তাকাই,আই লুক
I love,আমি ভালোবাসি,আই লাভ
I want,আমি চাই,আই ওয়ান্ট
I think,আমি ভাবি,আই থিংক
I know,আমি জানি,আই নো
I learn,আমি শিখি,আই লার্ন
I cook,আমি রান্না করি,আই কুক
I speak,আমি কথা বলি,আই স্পিক
I talk,আমি কথা বলি,আই টক
I open,আমি খুলি,আই ওপেন
I close,আমি বন্ধ করি,আই ক্লোজ
I wait,আমি অপেক্ষা করি,আই ওয়েট
I try,আমি চেষ্টা করি,আই ট্রাই
I live,আমি বাস করি,আই লিভ
I help,আমি সাহায্য করি,আই হেল্প
I call,আমি ডাকি,আই কল
I ask,আমি জিজ্ঞাসা করি,আই আস্ক
I take,আমি নিই,আই টেক
I give,আমি দিই,আই গিভ
I see,আমি দেখি,আই সি
I hear,আমি শুনি,আই হিয়ার
I feel,আমি অনুভব করি,আই ফিল
I understand,আমি বুঝি,আই আন্ডারস্ট্যান্ড
I sing,আমি গান করি,আই সিং
I swim,আমি সাঁতার কাটি,আই সুইম
I drive,আমি গাড়ি চালাই,আই ড্রাইভ
I study,আমি পড়াশোনা করি,আই স্টাডি
I wash,আমি ধুই,আই ওয়াশ
I watch,আমি দেখি,আই ওয়াচ
I buy,আমি কিনি,আই বাই
I sell,আমি বিক্রি করি,আই সেল
I make,আমি তৈরি করি,আই মেক
I clean,আমি পরিষ্কার করি,আই ক্লিন
I dance,আমি নাচি,আই ড্যান্স
I stop,আমি থামি,আই স্টপ
I start,আমি শুরু করি,আই স্টার্ট
I finish,আমি শেষ করি,আই ফিনিশ
I change,আমি পরিবর্তন করি,আই চেঞ্জ
I pay,আমি পরিশোধ করি,আই পে
I use,আমি ব্যবহার করি,আই ইউজ
I show,আমি দেখাই,আই শো
I tell,আমি বলি,আই টেল
I leave,আমি ছেড়ে যাই,আই লিভ
I bring,আমি আনি,আই ব্রিং
I keep,আমি রাখি,আই কিপ
I put,আমি রাখি,আই পুট
I find,আমি খুঁজে পাই,আই ফাইন্ড
I forget,আমি ভুলে যাই,আই ফরগেট
I remember,আমি মনে রাখি,আই রিমেম্বার
I need,আমার প্রয়োজন,আই নিড
I believe,আমি বিশ্বাস করি,আই বিলিভ
I agree,আমি রাজি,আই অ্যাগ্রি
I answer,আমি উত্তর দেই,আই আন্সার
I break,আমি ভাঙি,আই ব্রেক
I build,আমি নির্মাণ করি,আই বিল্ড
I choose,আমি পছন্দ করি,আই চুজ
I cut,আমি কাটি,আই কাট
I decide,আমি সিদ্ধান্ত নিই,আই ডিসাইড
I explain,আমি ব্যাখ্যা করি,আই এক্সপ্লেইন
I fall,আমি পড়ে যাই,আই ফল
I get,আমি পাই,আই গেট
I grow,আমি বড় হই,আই গ্রো
I hope,আমি আশা করি,আই হোপ
I join,আমি যোগ দিই,আই জয়েন
I meet,আমি সাক্ষাৎ করি,আই মিট
I send,আমি পাঠাই,আই সেন্ড
I spend,আমি ব্যয় করি,আই স্পেন্ড
I teach,আমি শেখাই,আই টিচ
I win,আমি জয়ী হই,আই উইন
